filename,created_at,taxon,taxon_original,Check,habit,root_system,height_min,height_low,height_high,height_max,height_unit,inflorescence_type,inflorescence_shape,inflorescence_length_min,inflorescence_length_low,inflorescence_length_high,inflorescence_length_max,inflorescence_length_unit,inflorescence_width_min,inflorescence_width_low,inflorescence_width_high,inflorescence_width_max,inflorescence_width_unit,inflorescence_peduncle_length_min,inflorescence_peduncle_length_low,inflorescence_peduncle_length_high,inflorescence_peduncle_length_max,inflorescence_peduncle_length_unit,flower_merosity,pedicel_length_min,pedicel_length_low,pedicel_length_high,pedicel_length_max,pedicel_length_unit,pedicel_width_min,pedicel_width_low,pedicel_width_high,pedicel_width_max,pedicel_width_unit,bisexual_flowers_presence,male_flowers_presence,heteromorphic_flower_presence,sterile_flower_presence,calyx_shape,calyx_length_min,calyx_length_low,calyx_length_high,calyx_length_max,calyx_length_unit,calyx_lobe_length_min,calyx_lobe_length_low,calyx_lobe_length_high,calyx_lobe_length_max,calyx_lobe_length_unit.,corolla_length_min,corolla_length_low,corolla_length_high,corolla_length_max,corolla_length_unit,corolla_lobe_length_min,corolla_lobe_length_low,corolla_lobe_length_high,corolla_lobe_length_max,corolla_lobe_length_unit,corolla_lobe_width_min,corolla_lobe_width_low,corolla_lobe_width_high,corolla_lobe_width_max,corolla_lobe_width_unit,stamen_count,filament_length_min,filament_length_low,filament_length_high,filament_length_max,filament_length_unit,filament_color,anther_gland_presence,stemonozone_presence,stamen_tube_presence,staminal_tube_presence,intrastaminal_nectary_presence,nectary_presence,clade
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0037.txt,2025-10-02T17:05:03.883037,Calliandra_dysantha,Calliandra dysantha,1,subshrubs,xylopodium,1.5,2,14,20,dm,capitula,umbelliform,NA,NA,NA,NA,NA,NA,2,3.5,NA,cm,NA,NA,NA,NA,NA,5,NA,0.8,5.2,NA,mm,NA,NA,NA,NA,NA,NA,yes,Inner most broader than outer ones,NA,turbinate,4,4,7.5,8,mm,0.4,0.4,3,NA,mm,8.5,10,14,15,mm,2.6,4,6.5,NA,mm,NA,NA,NA,NA,NA,(44)52-92(106),3.3,3.3,5.7,6.5,cm,blood-red,eglandular,present,present,NA,absent,,Calliandra clade
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0160.txt,2025-10-02T18:23:06.158558,Calliandra_erubescens,Calliandra erubescens,1,Shrubs,NA,NA,1.5,3,NA,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,5,NA,cm,NA,NA,0.6,0.7,NA,mm,NA,1,2,NA,mm,NA,NA,NA,NA,shallowly campanulate,1.4,1.4,1.7,1.7,mm,0.3,0.3,0.5,0.5,mm,NA,5,6.2,NA,mm,NA,2,3,NA,mm,NA,NA,NA,NA,NA,24-44,NA,2.4,3,NA,cm,white,eglandular,present,present,present,absent,,Calliandra clade
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0112.txt,2025-10-02T17:51:30.971338,Calliandra_longipes,Calliandra longipes,1,functionally herbaceous subshrubs,rhizomes,NA,1,3,NA,dm,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mm,6,NA,18,NA,cm,NA,0.3,0.3,0.8,0.8,mm,0.6,0.6,0.8,0.8,mm,NA,NA,homomorphic,NA,NA,2.4,2.4,2.7,2.7,mm,0.45,0.45,1.2,1.2,mm,8.5,NA,13.3,NA,mm,2.4,NA,2.8,NA,mm,NA,NA,NA,NA,NA,66-82,21,21,33,33,mm,whitish with tassel red,eglandular,present,present,NA,absent,,Calliandra clade
Barneby_1998_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_III_treatment_0082.txt,2025-10-02T17:33:10.305449,Calliandra_mollissima,Calliandra mollissima,1,shrubs and treelets,NA,2,NA,4,NA,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,27,NA,mm,4 (5)-merous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Present,NA,campanulate,1.4,1.4,2,2,mm,0.15,0.15,0.4,0.4,mm,NA,4.3,5.4,NA,mm,NA,0.6,1.6,NA,mm,NA,NA,NA,NA,NA,9-12,NA,26,33,NA,mm,white,eglandular,present,present,NA,Only in central flowers,,Calliandra clade
"Barneby, R., 1998. Calliandra. Silk tree, Guanacaste, Monkeys Earring. A generic system for the Synandrous Mimosaceae of the Americas. Mem. New York Bot. Gard, 74(3), pp.1-223. & https://books.google.com.br/books?hl=pt-BR&lr=&id=gN6X-ZZCSC8C&oi=fnd&pg=PA7&dq=""Mimosa+brevispicata""&ots=EV12NFsUyX&sig=MkJbKEVAJ5UMxFqy-RHeHHww4ZU#v=onepage&q=""Mimosa brevispicata”&f=false",NA,Calliandropsis_nervosa,Calliandropsis nervosus,1,shrub,,NA,NA,1,NA,m,Capituliform spikes,,,NA,NA,NA,,NA,NA,NA,NA,,0.5,1,7,14,mm,5,NA,NA,NA,NA,,NA,NA,NA,NA,,yes,,,,,NA,1,3,NA,mm,NA,NA,,NA,,NA,2.5,5,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,5,NA,6,8,12,mm,"white, pink","Mostly glandless, rarely with minute apical glands",,,no,,,Dichrostachys clade
Bull. Soc. Bot. France 80: 467 (1933),NA,Calpocalyx_aubrevillei,Calpocalyx aubrevillei,,,,NA,NA,NA,NA,,,,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,,bearing a anther gland,,,,,,Adenanthera clade
First published in Bull. Misc. Inform. Kew 1933: 172 (1933),NA,Calpocalyx_cauliflorus,Calpocalyx cauliflorus,,,,NA,NA,NA,NA,,,,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,,bearing a caducous apical gland,,,,,,Adenanthera clade
"H.G.A.Engler & K.A.E.Prantl, Nat. Pflanzenfam., Nachtr. 1: 191 (1897) https://bibdigital.rjb.csic.es/viewer/10967/?offset=#page=192&viewer=picture&o=bookmark&n=0&q=",NA,Calpocalyx_dinklagei,Calpocalyx dinklagei,1,tree,,NA,NA,NA,NA,,spike,Arranged in a panicle,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,10,NA,NA,NA,NA,,,Anthers bearing a caducous apical gland,,,,,,Adenanthera clade
Bull. Misc. Inform. Kew 1932: 101 (1932) or https://www.jstor.org/stable/4113372,NA,Chidlowia_sanguinea,Chidlowia sanguinea,1,tree,,NA,6,10,25,m,panicles,,± 250,NA,NA,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,5,NA,3,3.5,NA,mm,NA,NA,NA,NA,,,,,,,NA,2,NA,NA,mm,NA,NA,,NA,,NA,6,7,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,10,NA,25,NA,NA,mm,,,,,,,yes,
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0088.txt,2025-10-02T19:34:32.248574,Chloroleucon_foliolosum,Chloroleucon foliolosum,1,arborescent shrubs,NA,NA,3,8,10,m,capitula,hemispherical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,19,NA,mm,5-merous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,NA,campanulate,0.9,0.9,1.7,1.7,mm,0.1,0.1,0.2,0.2,mm,NA,3.2,5.2,NA,mm,0.7,NA,2,NA,mm,0.4,NA,1,NA,mm,10-12,NA,10,14.5,NA,mm,NA,NA,NA,NA,present,NA,,Samanea clade
"Barneby, R.C. and Grimes, J., 1997. Silk tree, Monkey's earring: A generic system for the synandrous Mimosaceae of the Americas. Part II. Pithecellobium, Cojoba and Zygia. Mem. New York Bot. Gard, 74, pp.1-149.",NA,Cojoba_graciliflora,Cojoba recordii,1,shrubs or trees,,NA,1,15,NA,m,capitula,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,3,7.6,NA,cm,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,2.5,5,NA,mm,NA,0.25,0.75,NA,mm,NA,9,16,NA,mm,NA,0.75,2,NA,mm,NA,NA,NA,NA,,21-35,NA,10,25,NA,mm,,,present,present,,,,
"H.G.A.Engler & K.A.E.Prantl, Nat. Pflanzenfam., Nachtr. 1: 192 (1897) https://bibdigital.rjb.csic.es/viewer/10967/?offset=#page=192&viewer=picture&o=bookmark&n=0&q=",NA,Cylicodiscus_gabunensis,Cylicodiscus gabunensis,1,tree,,NA,60,96,NA,m,Spiciforms racemes,,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,1,NA,NA,mm,NA,NA,,NA,,NA,2,NA,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,10,NA,NA,NA,NA,,,yes,,,,present,,Core Mimosoid clade
"Luckow, M. (1993). Monograph of Desmanthus (leguminosae-mimosoideae). Systematic Botany Monographs, 1-166.",NA,Desmanthus_fruticosus,Desmanthus fruticosus,1,"shrub, small tree",,NA,1,4,NA,m,"heads, very short spikes",Heads or very short spikes,NA,12,23,NA,mm,NA,NA,NA,NA,,NA,13,40,NA,mm,5,NA,NA,NA,NA,,NA,NA,NA,NA,,,yes,,yes,,1,2,2.7,4.8,mm,NA,0.25,0.5,NA,mm,2.3,4,4.5,5.8,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,10,NA,6,10.6,NA,mm,white,no,,,,,,Dichrostachys clade
Doi: 10.3897/phytokeys.205.76790,NA,Entada_elephantina,Elephantorrhiza elephantina,1,geoxylic suffrutex with erect annual herbaceous stems,,NA,20,90,NA,cm,spiciform racemes,"axillary,usually confined to the lower part of the stem",20,40,80,120,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,5,1.5,NA,NA,NA,mm,NA,NA,NA,NA,,,,,,,NA,1.75,NA,NA,mm,NA,NA,,NA,,NA,2.75,3.75,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,6.5,NA,NA,mm,,Spheroidal apical gland,present,,,,Flowers with minute reddish to reddish-brown glands at the base,Entada clade
Doi: 10.3897/phytokeys.205.76790,NA,Entada_goetzei,Elephantorrhiza goetzei,1,"shrub, tree",,1,4,7,NA,m,raceme,spiciform raceme,20,50,200,230,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,,1,NA,NA,NA,mm,NA,NA,NA,NA,,,,,,,NA,1.5,1.75,NA,mm,NA,NA,,NA,,NA,2.5,3,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,4.5,NA,NA,mm,,Spheroidal apical gland,present,,,,Minute pale yellowish-white glands at the base of pedicels,Entada clade
"MESQUITA, A.D.L., 1990. Revisão taxonômica do gênero Enterolobium Mart.(Mimosoideae) para a região Neotropical.",NA,Enterolobium_barnebianum,Enterolobium barnebianum,1,tree,,NA,15,40,NA,m,umbell,panicle,,NA,6,NA,cm,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,5,NA,NA,mm,NA,NA,NA,NA,,,,yes,,,NA,NA,2.5,NA,mm,NA,NA,,NA,,NA,NA,3.5,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,8-11,NA,NA,7,NA,mm,,,,,present,,,Albizia clade
"MESQUITA, A.D.L., 1990. Revisão taxonômica do gênero Enterolobium Mart.(Mimosoideae) para a região Neotropical.",NA,Enterolobium_timbouva,Enterolobium timbouva,1,tree,,NA,12,NA,NA,m,glomerules,Fasciculate,,NA,10,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,,yes,,,,,NA,3,4,NA,mm,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,NA,,,,,,,,,Albizia clade
"Rev. Bot. Appl. Agric. Trop. 14: 876 (1934) or Wood, P. J. (1992). The botany and distribution of Faidherbia albida. In Faidherbia albida in the West African semi-arid Tropicsʼ: Workshop Proceedings ICRISAT Niamey Niger (pp. 9-17).",NA,Faidherbia_albida,Faidherbia albida,1,tree,,NA,30,NA,NA,m,spike,Axillary panicle,3.5,4,14,16,cm,NA,NA,NA,NA,,NA,2,4,NA,cm,5,NA,2,NA,NA,mm,NA,NA,NA,NA,,,,,,,NA,1,1.7,NA,mm,NA,NA,,NA,,NA,3,3.5,NA,mm,NA,NA,NA,NA,,NA,NA,NA,NA,,40-50,NA,4,6,NA,mm,,absent,,,,,,Zapoteca clade
"Barneby, R.C. and Grimes, J., 1996. Silk tree, guanacaste, monkey's earring: a generic system of the synandrous Mimosaceae of the Americas. Part I. Abarema, Albizia, and allies. Memoirs of the New York Botanical Garden, 74(1).",NA,Falcataria_falcata,Falcataria moluccana,1,tree,,NA,15,35,NA,m,spikes,panicle of spikes,,1.5,4,NA,cm,NA,NA,NA,NA,,NA,NA,NA,NA,,5 (6),NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,2.2,2.9,NA,mm,0.3(0.7),15,40,NA,mm,NA,6,7.2,NA,mm,NA,2.4,4,NA,mm,NA,1.4,2.1,NA,mm,84-148,NA,14,18,NA,mm,,,present,present,,An intrastaminal disc around base of ovary,,Archidendron clade
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0100.txt,2025-10-02T19:42:12.527084,Gretheria_campylacantha,Havardia campylacanthus,1,arborescent shrubs and trees,NA,2,NA,14,NA,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,2,4,NA,cm,5-merous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homomorphic,NA,deeply campanulate,NA,2.5,3.4,NA,mm,NA,0.4,0.8,NA,mm,NA,5,5,NA,mm,NA,0.8,1,NA,mm,NA,NA,NA,NA,NA,40-50,NA,9,11.5,NA,mm,NA,NA,present,NA,present,NA,Rarely forming a pronounced vectorial disc,Pithecellobium clade
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0102.txt,2025-10-02T19:43:29.779132,Havardia_albicans,Havardia albicans,1,trees,NA,NA,4.5,12,NA,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,12,NA,mm,4-merous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,homomorphic,NA,subhemispherical,1.7,1.7,2,2,mm,NA,0.25,0.4,NA,mm,NA,3,3.8,NA,mm,NA,1.2,2,NA,mm,NA,0.9,1.3,NA,mm,NA,NA,10,12.5,NA,mm,white,NA,present,present,NA,NA,Nectariferous disc not developed,Pithecellobium clade
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0101.txt,2025-10-02T19:42:50.217199,Havardia_pallens,Havardia pallens,1,trees or bushy treelets,NA,2,NA,9,12,m,capitula,hemispherical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,24,30,mm,5(randomly 6)-merous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,homomorphic,NA,shallowly campanulate or hemispherical,NA,1,1.7,1.9,mm,NA,0.2,0.5,NA,mm,3.5,4,5.3,6.3,mm,1,1.2,2,NA,mm,0.6,NA,1.1,NA,mm,(28-)30-52,9,10.5,14.5,NA,mm,NA,NA,present,present,NA,NA,Petiolar nectary,Pithecellobium clade
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0069.txt,2025-10-02T19:22:32.702167,Hesperalbizia_occidentalis,Hesperalbizia occidentalis,1,trees,NA,NA,20,NA,30,m,capitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,6.5,NA,cm,5-merous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,homomorphic,NA,campanulate,2.2,2.2,3.3,3.3,mm,NA,0.5,0.6,NA,mm,8.5,8.5,10,10,mm,1,1,2.8,2.8,mm,NA,NA,NA,NA,NA,52-76,NA,20,24,NA,mm,white,NA,present,present,NA,NA,,Cojoba clade
Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0008.txt,2025-10-02T18:44:21.731954,Hydrochorea_leucocalyx,Balizia leucocalyx,1,trees,NA,NA,12,33,NA,m,capitula,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,4,6,NA,cm,5-merous,NA,2.5,6,NA,mm,NA,0.4,0.5,NA,mm,,,dimorphic,,,NA,3.8,4.5,NA,mm,NA,1,1.4,NA,mm,NA,7,9.3,NA,mm,NA,2,3.5,NA,mm,NA,1.8,2.5,NA,mm,28-36,NA,25,36,NA,mm,,NA,present,present,,,,Jupunba clade
"Pennington, T.D., 1997. The genus Inga: botany. Royal Botanic Gardens Kew.",NA,Inga_adenophylla,Inga adenophylla,1,tree,,NA,NA,15,NA,m,spike,"axillary, a congested spike",,NA,NA,NA,,NA,NA,NA,NA,,NA,4,8,NA,cm,5-merous,NA,0,0.5,NA,mm,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,,NA,1.5,2.5,NA,mm,NA,1,1.3,NA,cm,NA,3,4,NA,mm,NA,3,4,NA,mm,45-50,NA,25,NA,NA,mm,white,,,present,,,,Inga clade
"Pennington, T.D., 1997. The genus Inga: botany. Royal Botanic Gardens Kew.",NA,Inga_alba,Inga aggregata,1,tree,,NA,NA,40,NA,m,spike,"axillary, often clustered on short leafless axillary shoots, congested spike",,5,8,NA,mm,NA,NA,NA,NA,,NA,4,20,NA,mm,5-merous,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,Cup-shaped to tubular,NA,0.75,1.75,NA,mm,NA,NA,0.25,NA,mm,NA,2,3,NA,mm,NA,0.5,1,NA,mm,NA,NA,NA,NA,,25-45,NA,4.5,6,NA,mm,white,,,Present,,,,Inga clade
inga_treatment_0061.txt,2025-10-03T21:41:12.300960,Inga_arenicola,Inga arenicola,1,treelet,NA,NA,3,4,NA,m,capitate,NA,NA,NA,2,NA,mm,NA,NA,NA,NA,NA,3,3,9,9,cm,5-merous,0.5,0.5,0.75,0.75,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,funnel-shaped,NA,1,2,NA,mm,2,2,3,3,mm,6,7,8,NA,mm,1,1,1.5,NA,mm,NA,NA,NA,NA,NA,35-40,NA,1,NA,NA,cm,white,NA,NA,present,present,NA,,Inga clade
inga_treatment_0168.txt,2025-10-04T01:07:35.290859,Inga_barbata,Inga barbata,1,tree,NA,NA,NA,12,NA,m,spike,NA,NA,1.3,1.5,NA,cm,NA,NA,NA,NA,NA,2.5,2.5,5,5,cm,5-merous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,mm,NA,0.5,1.5,NA,mm,NA,1,1.1,NA,cm,NA,2,3,NA,mm,NA,NA,NA,NA,NA,35-40,1.5,NA,2.5,NA,cm,white,NA,NA,NA,present,NA,,Inga clade
inga_treatment_0220.txt,2025-10-04T01:40:38.708991,Inga_blanchetiana,Inga blanchetiana,1,Tree,NA,NA,NA,20,NA,m,spike or raceme,congested,NA,2,4,NA,cm,NA,NA,NA,NA,NA,1,NA,2.5,NA,cm,5-merous,1,NA,3,NA,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.1,NA,cm,NA,NA,2,NA,mm,NA,3.2,3.8,NA,cm,NA,3,NA,NA,mm,NA,NA,NA,NA,NA,75,2.5,2.5,2.8,2.8,cm,white,NA,NA,present,present,NA,,Inga clade
inga_treatment_0064.txt,2025-10-03T21:43:08.910051,Inga_bullatorugosa,Inga bullatorugosa,1,small tree,NA,NA,NA,NA,NA,NA,umbellate,globose,NA,2,2,NA,mm,NA,NA,NA,NA,NA,NA,2,5,NA,mm,NA,10,10,15,15,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,narrowly funnel-shaped,NA,2,2.5,NA,mm,NA,0.5,0.5,NA,mm,NA,7,8,NA,mm,1,1,1.5,1.5,mm,NA,NA,NA,NA,NA,50,9,9,10,10,mm,NA,NA,NA,present,present,NA,,Inga clade
inga_treatment_0017.txt,2025-10-03T21:11:57.044929,Inga_cordatoalata,Inga cordatoalata,1,tree,NA,NA,NA,30,NA,m,racemose,NA,NA,2.5,6,NA,cm,NA,NA,NA,NA,NA,0.6,NA,2.5,NA,cm,NA,0.5,NA,1,NA,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,cup-shaped,NA,NA,0.75,NA,mm,NA,0.25,0.25,NA,mm,NA,2.5,4.5,NA,mm,1,1,1,1,mm,NA,NA,NA,NA,NA,40-50,5,5,7,7,mm,white,NA,NA,NA,present,NA,,Inga clade
inga_treatment_0058.txt,2025-10-03T21:39:09.117306,Inga_filiformis,Inga filiformis,1,tree,NA,NA,NA,15,NA,m,capitate,subglobose,NA,2,3,NA,mm,NA,NA,NA,NA,NA,NA,8,11.5,NA,cm,NA,0,NA,0.5,NA,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,mm,NA,3,3,NA,mm,NA,7.5,NA,NA,mm,NA,2,2,NA,mm,NA,NA,NA,NA,NA,45-55,NA,1.4,NA,NA,cm,white,NA,NA,present,present,NA,,Inga clade
inga_treatment_0075.txt,2025-10-03T21:50:16.671887,Inga_golfodulcensis,Inga golfodulcensis,1,tree,NA,NA,NA,25,NA,m,spike,NA,NA,0.4,0.5,NA,cm,NA,NA,NA,NA,NA,NA,1.2,1.5,NA,cm,NA,NA,0.5,0.5,NA,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,funnel-shaped,NA,NA,2.25,NA,mm,NA,0.25,NA,NA,mm,NA,6,7,NA,mm,NA,1.5,NA,NA,mm,NA,NA,NA,NA,NA,40-50,NA,NA,1,NA,cm,white,NA,NA,NA,present,NA,,Inga clade
inga_treatment_0194.txt,2025-10-04T01:24:15.766505,Inga_herrerae,Inga herrerae,1,tree,NA,NA,NA,15,NA,m,spike,congested,2,2,3,3,cm,NA,NA,NA,NA,NA,NA,1,2.5,NA,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,mm,NA,1,2,NA,mm,NA,1.2,1.3,NA,mm,3,3,4,4,mm,NA,NA,NA,NA,NA,80,1.5,1.5,2,2,cm,NA,NA,NA,present,NA,NA,,Inga clade
inga_treatment_0067.txt,2025-10-03T21:45:07.521759,Inga_lallensis,Inga lallensis,1,tree,NA,NA,NA,8,NA,m,umbellate,globose,NA,3,5,NA,mm,NA,NA,NA,NA,NA,NA,2.5,8.5,NA,cm,NA,1.5,NA,4,NA,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,cup-shaped,NA,0.75,1.75,NA,mm,0.25,0.25,0.5,0.5,mm,NA,5.5,8,NA,mm,1,NA,1.5,NA,mm,NA,NA,NA,NA,NA,40-50,7,7,10,10,mm,NA,NA,NA,NA,present,NA,,Inga clade
inga_treatment_0109.txt,2025-10-03T22:24:32.033121,Inga_maritima,Inga maritima,1,Shrub or small tree,NA,NA,NA,7,NA,m,spike,Congested,1.5,NA,3.5,NA,cm,NA,NA,NA,NA,NA,NA,2,2.5,NA,cm,5-merous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,mm,NA,0.5,NA,NA,mm,NA,7,8,NA,mm,NA,2,NA,NA,mm,NA,NA,NA,NA,NA,35-40,NA,1.2,NA,NA,cm,white,NA,NA,NA,present,NA,,Inga clade
inga_treatment_0025.txt,2025-10-03T21:17:10.067437,Inga_microcalyx,Inga microcalyx,1,tree,NA,NA,NA,8,NA,m,spike,congested,NA,2,4,NA,cm,NA,NA,NA,NA,NA,7,7,10,10,cm,NA,0,NA,0.5,NA,mm,NA,NA,NA,NA,NA,NA,NA,homomorphic,NA,cup-shaped,NA,1,1,NA,mm,NA,0.25,NA,NA,mm,NA,4,4.5,NA,mm,NA,1.5,2,NA,mm,NA,NA,NA,NA,NA,30,1,1,1.5,1.5,cm,white,NA,NA,NA,present,NA,,Inga clade
inga_treatment_0091.txt,2025-10-03T22:00:25.127790,Inga_mortoniana,Inga mortoniana,1,tree,NA,NA,NA,15,NA,m,capitate,NA,NA,2,3,NA,mm,NA,NA,NA,NA,NA,3,3,4,4,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tubular or narrowly funnel-shaped, often slightly curved",NA,4,5,7,mm,0.2,0.2,1,1,mm,NA,8,11,NA,mm,NA,1,2,NA,mm,NA,NA,NA,NA,NA,45,NA,8,9,NA,mm,pure white,NA,NA,present,NA,NA,,Inga clade
inga_treatment_0096.txt,2025-10-03T22:03:37.845062,Inga_nobilis,Inga nobilis,1,tree,NA,NA,16,20,NA,m,"Spike,capitulum or umbel","globose, clavate or unexpanded",0.2,NA,2,NA,cm,NA,NA,NA,NA,NA,NA,0.5,8,NA,cm,NA,0,NA,1.7,NA,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,funnel-shaped,NA,3,7,NA,mm,NA,0.5,1.5,NA,mm,NA,6,11,NA,mm,1,NA,2.5,3,mm,NA,NA,NA,NA,NA,35-60,1.2,1.2,2,2,cm,white,NA,NA,present,present,NA,,Inga clade
"Pennington, T.D., 1997. The genus Inga: botany. Royal Botanic Gardens Kew.",NA,Inga_oerstediana,Inga endlicheri,1,tree,NA,NA,NA,30,NA,m,spike,"axillary, often clustered at the apex, or in the axils of undeveloped leaves on axillary shoots, a congested spike",,1.5,5,NA,cm,NA,NA,NA,NA,NA,NA,20,70,NA,mm,5-merous,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,NA,2,3,7,mm,NA,0.5,1,NA,mm,NA,0.7,1.3,NA,cm,NA,2,3,NA,mm,NA,NA,NA,NA,,60-110,NA,15,20,NA,mm,white,,,,present,,,Inga clade
inga_treatment_0093.txt,2025-10-03T22:01:41.519381,Inga_ruiziana,Inga ruiziana,1,tree,NA,NA,NA,30,NA,m,congested spike,NA,NA,0.5,1.5,NA,cm,NA,NA,NA,NA,NA,0.8,NA,4.5,NA,cm,NA,0,0,0.5,NA,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,mm,0.5,0.5,1,1,mm,NA,6,7,NA,mm,NA,1.5,2,NA,mm,NA,NA,NA,NA,NA,50-80,NA,9,10,NA,mm,white or occasionally pink,NA,NA,NA,present,NA,,Inga clade
inga_treatment_0029.txt,2025-10-03T21:19:51.760861,Inga_samanensis,Inga samanensis,1,tree,NA,NA,NA,20,NA,m,spike,NA,NA,1.4,2,4,cm,NA,NA,NA,NA,NA,0.6,0.6,1.5,1.5,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tubular,NA,2.5,3,NA,mm,0.25,0.25,0.25,0.25,mm,NA,7,7.5,NA,mm,1,NA,1.5,NA,mm,NA,NA,NA,NA,NA,33-40,NA,1,NA,NA,cm,white,NA,NA,present,present,NA,,Inga clade
