"taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean"
"Mimosa_leucaenoides","shrubs and treelets","","capitula","globose","4",NA,NA,NA,NA,"narrowly campanulate","8","red&pink","absent",NA,"","",NA,"",450,0.575,NA,2,NA,0.13,0.02,0.295,NA,NA,0.4
"Mimosa_manidea","rosette-trees","","capitula","ovoid-ellipsoid or globose","4",NA,NA,NA,NA,"","8","red&pink","absent",NA,"","",NA,"",300,1.45,NA,5,NA,0.055,NA,0.525,NA,NA,NA
"Mimosa_margaritae","shrub","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mimosa_monancistra","shrubs","","capitula","oblong","5",NA,NA,NA,NA,"campanulate or turbinate","10","red&pink","absent",NA,"","",NA,"",180,0.85,0.525,1,NA,0.12,0.025,0.24,NA,NA,0.5
"Mimosa_moniliformis","shrubs and small trees","","capitula","globose or ellipsoid","5",NA,NA,NA,NA,"campanulate","10","red&pink","absent",NA,"","",NA,"",300,0.95,0.55,1.4,NA,0.08,NA,0.3,0.11,0.06,0.5
"Mimosa_orthacantha","Shrubs","","capitula","globose","4",NA,"Some lower ones staminate",NA,NA,"campanulate","4","red&pink","absent",NA,"","",NA,"",200,0.6,NA,1.9,NA,0.04,NA,0.245,0.07,0.055,0.675
"Mimosa_paludosa","shrubs, treelets","","capitula","","4","","Lower ones mostly staminate","","","campanulate","8","red&pink","","","","","","",3.25,0.85,NA,2.5,NA,0.045,NA,0.275,0.115,NA,1.05
"Mimosa_pectinatipinna","shrubs","","capitula","globose","",NA,NA,NA,NA,"pappiform","","pink or white",NA,NA,"","",NA,"",190,0.45,NA,1.1,NA,0.105,NA,0.195,0.06,0.05,0.4
"Mimosa_pigra","shrubs","adventitiously rooting","capitula","globose","5",NA,NA,NA,NA,"","10","red&pink",NA,NA,"","",NA,"",105,0.575,NA,1.2,NA,0.0725,NA,0.165,NA,NA,0.2
"Mimosa_pithecolobioides","arborescent shrubs and round-topped trees","","spike","amentiform","5",NA,"Some or many of each spike functionally staminate",NA,NA,"campanulate","10","yellow",NA,NA,"","",NA,"",350,0.45,NA,2.25,NA,0.095,0.03,0.225,0.1,0.0375,0.24
"Mimosa_pudica","subshrubs, herbs","","capitula","ellipsoid","4",NA,"Some or many lower ones staminate",NA,NA,"campanulate cup","4","red&pink",NA,NA,"","",NA,"",120,0.425,NA,2,NA,0.015,NA,0.18,0.07,0.045,0.475
"Mimosa_quadrivalvis","Humifuse herbs","","capitula","globose","5&6",NA,"Lower ones staminates",NA,NA,"campanulate","10","pink or purplish-pink, sometimes fading whitish",NA,"present","","",NA,"",120,0.75,NA,6.7,0.1,0.045,NA,0.315,0.17,0.0725,0.575
"Mimosa_rhododactyla","arborescent shrubs","","spike","","4&5&6",NA,NA,NA,NA,"campanulate or turbinate-campanulate","10","red&pink",NA,"present","","",NA,"",450,0.5,NA,NA,NA,0.105,0.0175,0.25,0.11,NA,0.45
"Mimosa_sicyocarpa","Scrambling or arborescent shrubs","","capitula","","",NA,NA,NA,NA,"campanulate","","",NA,NA,"","",NA,"",600,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA
"Mimosa_skinneri","short-lived perennial herbs","","capitula","ellipsoid or globose","4","All or most bisexual",NA,NA,NA,"","4","red&pink",NA,NA,"","",NA,"",35,0.5,NA,4.5,NA,0.02,NA,0.205,NA,NA,0.5
"Mimosa_somnians","subshrubs, shrubs and treelets","","capitula","subglobose","4",NA,"Lowest in each capitulum staminate",NA,NA,"membranous","8","red&pink",NA,NA,"","",NA,"",145,0.575,NA,1.9,NA,0.0425,0.125,0.28,0.21,0.085,0.55
"Mimosa_spirocarpa","shrubs","","spike","amentiform","5","All bisexual",NA,NA,NA,"campanulate","10","pink fading whitish",NA,NA,"","",NA,"",NA,8,0.525,NA,NA,0.12,0.035,0.245,0.11,0.0725,0.575
"Mimosa_townsendii","Treelets","","spike","","4",NA,NA,NA,NA,"shallowly campanulate","8","white",NA,"yes","","",NA,"",NA,1.15,0.4,1.25,NA,0.05,0.01,0.23,0.11,0.075,0.5
"Mimosa_xanthocentra","subshrubs","woody roots or short caudex","capitula","ovoid-ellipsoid","4",NA,"Lower ones staminates",NA,NA,"paleaceous-pappiform","4","red&pink",NA,NA,"","",NA,"",90,0.75,0.525,1.25,NA,0.215,NA,0.23,0.11,0.055,0.725
"Neltuma_flexuosa","trees, large erect polypodial shrubs","","raceme","","","","","","","","","","present","","","","","",650,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neltuma_laevigata","tree","","raceme","","","","","","","","","","present","","","","","",650,7,NA,NA,NA,0.1,NA,0.35,NA,NA,NA
"Neltuma_ruscifolia","tree","","raceme","","","","","","","","","","present","","","","","",850,11.5,NA,1.5,0.16,0.125,NA,0.35,NA,NA,0.6
"Neptunia_lutea","herb","","spike","","5","","Lower ones staminate","dimorphic","","","10","yellow","present","no","","","","",240,1.45,NA,7.4,NA,0.185,0.06,0.305,NA,NA,0.73
"Newtonia_buchananii","tree","","spike","","","","","","","","","","present","","","","","",2500,11.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Newtonia_hildebrandtii","tree","","spike","","","","","","","","","","absent","","","","","",2500,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Newtonia_leucocarpa","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Painteria_elachistophylla","shrubs","","capitula","","4&5","","","","","","28","","","","","","","",NA,NA,NA,3,NA,1.2,0.225,4.7,1.4,0.95,10.5
"Parapiptadenia_excelsa","tree","","spike","","5","","","","","","10","","present","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pararchidendron_pruinosum","tree, shrub","","umbell","","5","","","","","",NA,"white, cream","","","","","","",1800,NA,NA,6.5,0.45,0.15,0.03,0.6,0.075,NA,1.2
"Parasenegalia_miersii","Scandent shrubs or lianes","","capitula","","5","","","","","","","","present","","","","","",NA,NA,NA,NA,NA,0.12,NA,0.225,NA,NA,NA
"Parasenegalia_skleroxyla","tree","","Spikes or densely flowered heads","","5","","","","","","40-80","","present","","","","","present",2250,10.5,1.25,1.55,NA,0.11,NA,0.21,0.21,NA,0.575
"Paraserianthes_lophantha","trees",NA,"raceme",NA,"5",NA,NA,"homomorphic",NA,"shallowly campanulate","96-154","yellow",NA,"obscure","present",NA,NA,"",800,4.5,NA,1.5,NA,0.26,0.08,0.61,0.22,0.145,1.475
"Parkia_discolor","tree","","capitula","Biglobose with basal staminoidal fringe, apically obovoid","5","","yes","yes","","","10","","Bearing a anther gland","","","","","",1500,5,NA,8,NA,0.7,0.05,0.825,0.075,NA,NA
"Parkia_filicoidea","tree","","capitula","","5","","Yes","yes","","","10","","","","","","","",1900,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parkia_nitida","tree","","capitula","biglobos with basal staminoidal fringe, apical parts ellipsoid, apical parts obovoid","5","","yes","yes","","","10","","Bearing a anther gland","","","","","",4000,6.25,5.75,9.25,NA,1.025,0.1,1.125,0.2,NA,NA
"Parkia_platycephala","tree","","capitula","","5","","yes","yes","","","10","","present","","","","","",1800,4.5,NA,25,NA,0.9,0.175,1.1,0.625,NA,NA
"Parkia_ulei","tree","","capitula","","5","","yes","yes","","","10","","Bearing a anther gland","","","","","",NA,1.4,NA,0.7,NA,0.325,0.05,0.4,0.1,NA,NA
"Pentaclethra_macrophylla","tree","","spike","Arranged in ample panicles in older trees","5","yes","","","","campanulate","10","white","","","","","","",2750,NA,NA,NA,NA,NA,NA,0.3,NA,NA,0.6
"Piptadenia_adiantoides","liana, shrub","","spike","spikes in pseudoracemes","5","","","","","","10","yellow","present","present","","","","",900,8.95,0.65,1.35,0.02,0.18,0.015,0.41,0.175,NA,0.545
"Piptadenia_buchtienii","Shrub or small tree","","spike","Mostly in terminal and axillary pseudoracemes","5","","","","","","10","red&pink","present","absent","","","","",700,0.55,0.95,0.95,NA,0.105,0.015,0.21,0.15,NA,0.5
"Piptadenia_gonoacantha","tree","","spike","terminal pseudoracemes, axillary ","5","","","homomorphic","","","10","white, yellowish-cream, rarely light pink","present","","","","","",1150,8.4,0.95,0.5,NA,0.06,0.015,0.21,0.14,NA,0.325
"Piptadenia_paniculata","tree","","spike","mostly in terminal panicles, mostly in terminal pseudoracemes","5","","","","","","10","yellow","present","present","","","","",1300,5.2,0.75,0.8,0.02,0.05,0.015,0.19,0.14,NA,0.45
"Piptadenia_retusa","shrub, tree","","spike","spikes in pseudoracemes","5","","","","","","10","yellow","present","present","","","","",225,5.1,0.65,0.7,0.01,0.11,0.015,0.28,0.18,NA,0.505
"Piptadenia_robusta","tree","","spike","Axillary pseudoraceme","5","","","","","campanulate","10","white, red, vinaceous","present","present","","","","",2000,9,1.05,0.85,NA,0.085,0.015,0.245,0.23,NA,0.5
"Piptadeniastrum_africanum","tree","","raceme","","","","","","","","","","present","present","","","","",5000,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Piptadeniopsis_lomentifera","shrub","","","","","","","","","","","","present","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pithecellobium_dulce","tree",NA,"capitula","subspherical","5","present","present","homomorphic","absent","campanulate or turbinate-campanulate","26-42",NA,NA,"present",NA,"present",NA,NA,1650,NA,NA,1.2,NA,0.165,0.025,0.355,0.115,0.09,0.875
"Pithecellobium_furcatum","trees and arborescent shrubs",NA,"spike","capituliforme","5",NA,NA,"homomorphic",NA,"cylindric or cylindro-campanulate","36-62",NA,NA,"present",NA,"present",NA,"absent",750,0.8,NA,1.7,NA,0.6,0.105,1,0.21,0.16,3.85
"Pityrocarpa_moniliformis","tree","","spike","","5","","","","","","","","","","","","","",600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pityrocarpa_obliqua","shrubs, trees","","","","","","","","","","","white","","","","","","",325,NA,NA,NA,NA,0.12,NA,0.265,NA,NA,0.6
"Pityrocarpa_schumanniana","tree","","spike","","5","","","","","","10","","present","","","","","",1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plathymenia_reticulata","tree","","raceme","","5","","","","","","10","white","present","","","","","",2600,8.75,NA,NA,NA,0.3,NA,0.375,0.105,NA,0.6
"Prosopidastrum_mexicanum","shrubs","","capitula","globose","5","","","","","","10","","present","","","","","",75,NA,NA,2.6,NA,NA,NA,0.55,NA,NA,NA
"Prosopis_farcta","shrubs, subshrubs, sometimes shrub-trees","","raceme","","","","","","","","","","present","","","","","",140,8,NA,NA,NA,0.1,NA,0.375,NA,NA,0.45
"Pseudalbizzia_decandra","Trees",NA,"capitula","Hemispherical or subglobose","5&6",NA,NA,"yes",NA,"campanulate","10(15)",NA,NA,"present","present",NA,NA,"absent",2500,NA,NA,1.5,0.065,0.11,0.015,0.37,0.165,0.09,1.4
"Pseudalbizzia_sinaloensis","trees",NA,"capitula","subhemispherical","5",NA,NA,"homomorphic",NA,"turbinate-campanulate","36",NA,NA,"present","present",NA,NA,"",2000,0.15,NA,2.25,NA,0.2,0.05,0.38,0.095,0.07,0.525
"Pseudalbizzia_tomentosa","trees",NA,"capitula",NA,"5",NA,NA,"yes",NA,"turbinate, broadly campanulate","18-32","white",NA,"present","present",NA,NA,"",1500,NA,NA,1.9,0.055,0.19,0.035,0.45,0.145,0.0875,1.325
"Pseudoprosopis_fischeri","shrub, tree","","","","","","","","","","","","present","","","","","",450,3,NA,0.65,0.325,0.125,NA,0.425,NA,NA,0.65
"Pseudosamanea_carbonaria","Trees",NA,"capitula","umbelliform","5",NA,NA,"yes",NA,"narrowly campanulate","19-24","white",NA,"present","present",NA,NA,"",500,1.35,NA,3.2,0.275,0.3,0.09,0.54,0.175,NA,1.475
"Pseudosamanea_guachapele","trees",NA,"capitula","umbelliform","5",NA,NA,"yes",NA,"narrowly campanulate or vase-shaped from turbinate base, cylindrocampanulate","18-100","white",NA,"present","present",NA,NA,"",1650,NA,NA,5.25,1.65,0.575,0.135,1.025,0.2,NA,3.6
"Pseudosenegalia_feddeana","Shrub or small tree","","spike","Cylindrical loosely flowered","5","","","","","","100-140","","absent","","","","","present",800,2.4,NA,0.4,NA,0.165,NA,0.38,NA,NA,0.9
"Punjuba_lehmannii","Macrophyllidious trees",NA,"spike",NA,"5",NA,NA,"homomorphic",NA,"campanulate","40-45",NA,NA,"present",NA,NA,NA,"",950,9,NA,2.5,0.03,0.215,0.05,0.575,0.115,0.0825,1.025
"Robrichia_schomburgkii","tree","","capitula","","","","","dimorphic","","","10","","absent","","","","","present",NA,NA,NA,NA,NA,0.29,NA,0.435,NA,NA,NA
"Samanea_saman","tree",NA,"capitula","hemispherical","5&9",NA,NA,"yes",NA,"slenderly vase-shaped","21-80","white proximally, pink or red distally",NA,"present",NA,NA,NA,"",2750,NA,NA,6.25,0.225,0.59,0.115,1.125,0.255,0.135,3.25
"Senegalia_burkei","tree","","spike","","","","","","","","","","present","","","","","",1500,4.5,NA,2,NA,0.21,NA,0.25,NA,NA,0.525
"Senegalia_caffra","shrub or tree","","spike","","","","","","","","","","present","","","","","",600,7,NA,2,NA,0.25,NA,0.3,NA,NA,0.65
"Senegalia_catechu","Tree",NA,"spike",NA,"5",NA,NA,NA,NA,"cupular",NA,NA,NA,NA,NA,NA,NA,"",1050,3,1.1,1.5,NA,NA,NA,0.2,NA,NA,NA
"Senegalia_caesia","Lianas or straggling shrubs","","capitula","Pedunculate heads arranged in terminal open panicles or elongated racemes","5","","","","","","","","","","","","","",NA,NA,NA,1.65,NA,NA,NA,0.25,NA,NA,NA
"Strombocarpa_tamarugo","tree","","spike","spikes axillary","","","","","","","","","present","","","","","",1800,5,NA,NA,NA,0.15,NA,0.45,NA,NA,NA
"Stryphnodendron_guianense","treelets, trees","","spike","simple thyrsi, cymule of solitary to 4-ternate spikes","5","","","","","",NA,"","present","","","","","",700,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tetrapleura_tetraptera","tree","","raceme","","","","","","","","","","present","","","","","",600,9,NA,2.75,0.2,0.075,NA,0.275,NA,NA,0.35
"Tetrapterocarpon_septentrionale","tree","",NA,"","4","","","","","","8","","","","","","","",1350,15,NA,NA,NA,0.1,NA,0.175,NA,NA,0.3
"Vachellia_collinsii","tree","","spike","cylindrical","5","","","","","","Species from genus Vachellia have numerous stamens (20-100)","","","","","","","absent",1000,2.5,0.5,1.3,NA,0.12,NA,0.13,NA,NA,0.2
"Vachellia_farnesiana","shrub to small tree",NA,"capitula","globose","5",NA,NA,NA,NA,NA,"Species from genus Vachellia have numerous stamens (20-100)",NA,NA,NA,NA,NA,NA,"absent",800,0.8,NA,2.55,NA,0.145,NA,0.235,NA,NA,0.45
"Vachellia_gerrardi","shrub or tree","","spike","","","","","","","","","","","","","","","",1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vachellia_pennatula","Tree",NA,"capitula","globose","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1500,1.1,1.1,2.3,NA,0.115,NA,0.23,NA,NA,0.375
"Viguieranthus_glaber","","","","","","","","","","","","","absent","present","","","","",NA,NA,NA,NA,NA,NA,NA,0.475,NA,NA,1
"Viguieranthus_glandulosus","tree","","capitula","Solitary or paired heads sometimes combined into a panicle","5","yes","","","","obconical","","","absent","","","","","",2500,NA,NA,2.65,0.15,0.375,NA,0.525,NA,NA,1.2
"Wallaceodendron_celebicum","tree","","raceme","solitary or paired racemes axillary to the distal leaves","5","yes","","","","Cup shaped",NA,"white","","","","","","",4500,16.5,NA,10.5,0.9,0.4,NA,1.425,0.45,NA,3.75
"Xerocladia_viridiramis","shrub","","capitula","","5","","","","","","","","Yes","","","","","",100,0.7,NA,0.8,NA,0.15,NA,0.25,NA,NA,NA
"Xylia_hoffmannii","Almost a tree","","","","5","","","","","","10","","anthers usually bearing a caducous stalked anther gland. ","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xylia_xylocarpa","tree","","Dense globose heads pedunculate","Fascicled or racemose","5","yes","","","","campanulate","10","","present","","","","","",2400,1.25,NA,6.5,NA,0.25,NA,0.35,NA,NA,NA
"Zapoteca_ravenii","shrubs","","capitula","capitula axillary","5","","","","","","","white","Anthers eglandular","","","","","",400,NA,NA,3.8,NA,0.5,NA,0.4,0.1,NA,1.2
"Zygia_claviflora","trees",NA,"capitula",NA,"4",NA,NA,NA,NA,"campanulate","24-44","red&pink","absent","present",NA,"present","absent","present",650,0.2,NA,0.25,NA,0.15,0.015,0.8,0.11,NA,2.7
"Zygia_lathetica","trees",NA,"capitula",NA,NA,NA,NA,NA,NA,"campanulate","64-100","red&pink","absent","present","present",NA,"absent","present",1050,2.5,NA,1.15,NA,0.215,0.0175,1.65,0.235,NA,3.8
"Zygia_longifolia","trees",NA,"spike",NA,NA,NA,NA,NA,NA,"campanulate","20-30","White or pink",NA,NA,"present",NA,NA,"present",1300,1.55,NA,NA,NA,0.155,0.0325,0.6,0.095,NA,1.775
"Zygia_paucijugata","Arborescent shrubs",NA,"capitula",NA,NA,NA,NA,NA,NA,"campanulate","30-46",NA,NA,"present","present",NA,"present",NA,700,0.15,NA,1,NA,0.19,0.065,0.725,0.1,NA,1.7
"Zygia_peckii","trees",NA,"capitula",NA,"4",NA,NA,NA,NA,"campanulate","45-50",NA,NA,"present","present",NA,"present","present",650,NA,NA,0.65,NA,0.26,0.04,0.725,0.14,NA,1.65
"Zygia_racemosa","trees",NA,"capitula",NA,"5",NA,NA,NA,NA,"campanulate or hemisphericat","18-25","Whitish, yellow-tipped or orange","absent","present","present",NA,NA,NA,1900,0.15,NA,0.7,NA,0.09,0.01,0.375,0.085,NA,1.325
"Kanaloa_kahoolawensis","shrubs","","capitula","","5","","present","","","","10","","absent","","","","","",87.5,0.7,NA,1.9,NA,0.115,0.015,0.165,NA,NA,0.25
"Dichrostachys_cinerea","Shrub or small tree","","spike","","5","","Central ones male","","Lower ones sterile","","10","In proximal flowers violet, in distal ones pale yellow","present","","","","","",500,7.5,NA,NA,NA,0.075,0.01,0.225,NA,NA,0.425
"Dichrostachys_spicata","Shrub or small tree","","spike","","5","","","","Lower ones sterile","","10","","present","","","","","",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microlobius_foetidus","Trees or shrubs","","spike","simple thyrsi","5","","","","","campanulate","10","","present","","","","","",650,4.5,NA,NA,NA,0.09,NA,0.35,NA,NA,NA
"Heliodendron_basalticum","Tree or shrubs","","Globular pedunculate heads","","","","","homomorphic","","Tubular to subcampanulate",NA,"","","","","","","",NA,0.11,NA,NA,NA,0.225,NA,0.475,NA,NA,0.7
