"genero","taxon","habit","root_system","inflorescence_type","inflorescence_shape","flower_merosity","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","stamen_count","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","height_mean","inflorescence_length_mean","inflorescence_width_mean","inflorescence_peduncle_length_mean","pedicel_length_mean","pedicel_width_mean","calyx_length_mean","calyx_lobe_length_mean","corolla_length_mean","corolla_lobe_length_mean","corolla_lobe_width_mean","filament_length_mean","na_percent","n_target"
"Macrosamanea","Macrosamanea_simabifolia","shrubs",NA,"capitula",NA,NA,NA,NA,NA,NA,"cylindric or slightly dilated above middle",NA,NA,NA,NA,NA,NA,NA,"",400,NA,NA,3.75,NA,NA,0.575,0.105,1.75,0.3,NA,NA,68.9655172413793,2
"Macrosamanea","Macrosamanea_spruceana","sarmentose shrubs",NA,"capitula","subglobose",NA,NA,NA,NA,NA,"tubular or a little expanded distally","70","white",NA,NA,NA,NA,NA,"",500,NA,0.4,NA,0.275,0.145,1.75,0.6,4.95,0.875,NA,2.5,48.2758620689655,2
"Mariosousa","Mariosousa_compacta","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,2
"Mariosousa","Mariosousa_coulteri","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,2
"Marlimorimia","Marlimorimia_psilostachya","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,1
"Mezcala","Mezcala_balsensis","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,1
"Mimosa","Mimosa_townsendii","Treelets","","spikes","","4-merous",NA,NA,NA,NA,"shallowly campanulate","8","white",NA,NA,"","",NA,"",NA,1.15,NA,1.25,NA,NA,0.05,0.01,0.23,0.11,0.075,0.5,37.9310344827586,62
"Mimosa","Mimosa_radula","subshrubs","xylopodium","capitula","","4-merous",NA,NA,NA,NA,"paleaceous, obtusely tetragonal","4","pink or purplish",NA,NA,"","",NA,"",130,1,NA,2.5,NA,NA,0.335,0.125,0.41,0.13,0.04,0.7,34.4827586206897,62
"Mimosa","Mimosa_orthacantha","Shrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"campanulate","4","pink",NA,NA,"","",NA,"",200,0.6,NA,1.9,NA,NA,0.04,NA,0.245,0.08,0.055,0.675,37.9310344827586,62
"Mimosa","Mimosa_deamii","treelet","","pseudoracemose","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.0689655172414,62
"Mimosa","Mimosa_dolens","herbaceous subshrubs","woody roots","capitula","globose","4-merous",NA,NA,NA,NA,"collar or shallow cup","4","pink",NA,NA,"","",NA,"",95,1.075,NA,6.5,NA,NA,0.1,NA,0.45,NA,NA,0.7,44.8275862068966,62
"Mimosa","Mimosa_similis","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,62
"Mimosa","Mimosa_purpusii","shrubs","","capitula","globose","5-merous",NA,NA,NA,NA,"shallowly openly campanulate","10","pink",NA,NA,"","",NA,"",100,NA,NA,1.5,NA,NA,0.0575,NA,0.35,0.19,NA,0.7,44.8275862068966,62
"Mimosa","Mimosa_pigra","shrubs","adventitiously rooting","capitula","globose","",NA,NA,NA,NA,"","","pink",NA,NA,"","",NA,"",105,0.575,NA,1.2,NA,NA,0.0725,NA,0.165,NA,NA,0.2,44.8275862068966,62
"Mimosa","Mimosa_distachya","shrubs","","spikes or racemes","","5-merous",NA,NA,NA,NA,"openly campanulate or turbinate-campanulate","10","white or pale pink",NA,NA,"","",NA,"",400,5.5,NA,NA,0.04,NA,0.09,0.02,0.255,0.15,NA,0.45,37.9310344827586,62
"Mimosa","Mimosa_lepidota","shrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"campanulate","8","white",NA,NA,"","",NA,"",225,0.525,NA,2.25,NA,NA,0.13,0.01,0.425,0.1,0.08,0.475,34.4827586206897,62
"Mimosa","Mimosa_extranea","shrubs or treelets","","capitula","globose","4-S-merous",NA,NA,NA,NA,"narrowly campanulate","","white",NA,NA,"","",NA,"",225,0.5,NA,2.2,2.2,NA,0.09,0.02,0.27,0.13,0.06,0.275,31.0344827586207,62
"Mimosa","Mimosa_tricephala","","","pseudoraceme","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.5172413793103,62
"Mimosa","Mimosa_benthamii","shrubs","","spikes","","(4-)5(-6)","","","","","","","pink","","","","","","",450,NA,NA,NA,NA,NA,1.4,0.175,2.5,0.95,NA,4.5,20.6896551724138,62
"Mimosa","Mimosa_acantholoba","arborescent shrubs and bushy trees","","capitula or spikes","globose, ellipsoid, or spicate","4- or 5-merous",NA,NA,NA,NA,"membranous campanulate","8(10)","white sometimes pale pinkish",NA,NA,"","",NA,"",450,1.8,NA,1.45,NA,NA,0.0675,NA,0.27,0.13,0.07,0.475,37.9310344827586,62
"Mimosa","Mimosa_strigillosa","herbs","stout woody taproot","capitula","ellipsoid or short-cylindric","4(-5)-merous",NA,NA,NA,NA,"shallowly campanulate","8(10)","pinklilac",NA,NA,"","",NA,"",100,1.7,NA,10,NA,NA,0.0375,NA,0.27,0.12,0.075,0.625,37.9310344827586,62
"Mimosa","Mimosa_lactiflua","","","pseudoracemes","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.5172413793103,62
"Mimosa","Mimosa_daleoides","shrubs and subshrubs","","spikes","narrowly amentiform or slenderly ellipsoid","4-merous",NA,NA,NA,NA,"disc","4","yellow",NA,NA,"","",NA,"",NA,1.05,NA,3.25,NA,NA,NA,NA,0.16,0.07,NA,0.195,48.2758620689655,62
"Mimosa","Mimosa_neptunioides","subshrubs","","capitula","","4","","","","","","8","pink","","","","","","",NA,12,6,35,NA,NA,0.45,0.325,2.6,0.975,0.85,7.75,10.3448275862069,62
"Mimosa","Mimosa_invisa","vines and scrambling shrubs","","capitula","oblong or cylindric","(4-)5(-6)-merous",NA,NA,NA,NA,"campanulate","4(5)","pink",NA,NA,"","",NA,"",350,4.65,NA,0.95,NA,NA,0.04,NA,0.2,0.12,0.05,0.575,37.9310344827586,62
"Mimosa","Mimosa_incarum","shrubs","","capitula","globose or plumply ellipsoid","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",250,0.45,NA,0.95,NA,NA,0.0325,NA,0.22,0.07,0.045,0.45,37.9310344827586,62
"Mimosa","Mimosa_adenantheroides","arborescent shrubs","","capitula","oblong-ellipsoid, spiciform, cylindric, or amentiform","5-merous",NA,NA,NA,NA,"campanulate","10","whitish or pale pink",NA,NA,"","",NA,"",250,1.4,NA,2.25,NA,NA,0.165,0.035,0.315,NA,NA,0.6,41.3793103448276,62
"Mimosa","Mimosa_quadrivalvis","Humifuse and herbaceous or frutescent and sarmentose","","capitula","globose","(4-)5-6- merous",NA,NA,NA,NA,"campanulate","10","pink or purplish-pink, sometimes fading whitish",NA,NA,"","",NA,"",120,NA,NA,6.7,0.1,NA,0.045,NA,0.315,0.17,0.0725,0.575,37.9310344827586,62
"Mimosa","Mimosa_paludosa","shrubs, treelets","","capitula","","4","","","","","","8","pink","","","","","","",3.25,NA,NA,25,NA,NA,2,NA,2.75,1.15,NA,10.5,20.6896551724138,62
"Mimosa","Mimosa_gentryi","shrubs","","capitula","hemispherical","4- and 5-merous",NA,NA,NA,NA,"campanulate","","lilac",NA,NA,"","",NA,"",250,0.75,NA,2,NA,NA,0.09,NA,0.34,0.13,0.0725,0.525,37.9310344827586,62
"Mimosa","Mimosa_antioquensis","shrubs","","capitula","","5","","","","","","","","","","","","","",500,NA,NA,12,NA,NA,0.7,NA,2.3,0.75,0.3,NA,20.6896551724138,62
"Mimosa","Mimosa_ursina","monocarpic herbs","","capitula","","4-merous",NA,NA,NA,NA,"cup","4","pinkish",NA,NA,"","",NA,"",35,NA,NA,1.55,NA,NA,0.02,NA,0.185,0.05,NA,0.3,44.8275862068966,62
"Mimosa","Mimosa_margaritae","","","","","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.5172413793103,62
"Mimosa","Mimosa_hirsutissima","herbaceous subshrubs","woody root or xylopodium","capitula","globose or plumply ellipsoid","4-merous",NA,NA,NA,NA,"paleaceous","4","pink",NA,NA,"","",NA,"",125,0.7,NA,7,NA,NA,0.2,NA,0.285,0.13,0.065,0.625,37.9310344827586,62
"Mimosa","Mimosa_leptocarpa","shrubs","","capitula","globose","5-merous",NA,NA,NA,NA,"","5(8)","",NA,NA,"","",NA,"",NA,NA,NA,1.35,NA,NA,NA,NA,0.31,0.1,0.065,0.35,48.2758620689655,62
"Mimosa","Mimosa_hypoglauca","subshrubs","xylopodium","capitula","globose","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",107.5,0.775,NA,3.5,NA,NA,0.22,0.065,0.335,0.13,0.07,0.65,34.4827586206897,62
"Mimosa","Mimosa_brevispicata","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,62
"Mimosa","Mimosa_scabrella","trees","","capitula","globose or shortly oblong-ellipsoid","4-merous",NA,NA,NA,NA,"campanulate","4","sulfur-yellow",NA,NA,"","",NA,"",2000,0.85,NA,1.3,NA,NA,0.06,NA,0.255,0.13,0.08,0.4,37.9310344827586,62
"Mimosa","Mimosa_hystricina","","","","","","","","","","","","","","","","","","",NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,37.9310344827586,62
"Mimosa","Mimosa_diversipila","subshrubs","xylopodium and woody fusiform roots","capitula","globose or plumply ellipsoid","4-merous",NA,NA,NA,NA,"membranous rim","4","pink",NA,NA,"","",NA,"",110,0.65,NA,1,NA,NA,0.01,NA,0.265,0.11,0.0425,0.6,37.9310344827586,62
"Mimosa","Mimosa_debilis","Herbs and subshrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"minute","4","lilac-, roseor magenta-pink",NA,NA,"","",NA,"",140,0.6,NA,1.25,NA,NA,0.0275,NA,0.23,0.07,0.05,0.575,37.9310344827586,62
"Mimosa","Mimosa_aculeaticarpa","shrubs and treelets","","capitula","globose","5-merous",NA,NA,NA,NA,"campanulate","10","white",NA,NA,"","",NA,"",275,NA,NA,1.5,NA,NA,0.15,0.0175,0.285,0.1,NA,0.375,41.3793103448276,62
"Mimosa","Mimosa_pilulifera","arborescent shrubs","","capitula","globose or plumply ellipsoid","4-merous",NA,NA,NA,NA,"campanulate","4","yellowish",NA,NA,"","",NA,"",400,NA,NA,1.45,NA,NA,0.04,NA,0.2,0.08,NA,0.175,44.8275862068966,62
"Mimosa","Mimosa_nanchititlana","shrubs and treelets","","spikes","","5-merous",NA,NA,NA,NA,"campanulate","10","white",NA,NA,"","",NA,"",350,6.5,NA,NA,NA,NA,0.11,0.015,0.23,0.09,0.045,0.4,37.9310344827586,62
"Mimosa","Mimosa_sousae","shrubs","","capitula","globose","4-5(-6)-merous",NA,NA,NA,NA,"paleaceous","4(10)","pink",NA,NA,"","",NA,"",150,0.8,NA,4.25,NA,NA,0.175,NA,0.35,NA,NA,0.75,44.8275862068966,62
"Mimosa","Mimosa_cordistipula","shrublets","","capitula","globose","3",NA,NA,NA,NA,"","6","pink",NA,NA,"","",NA,"",42.5,NA,NA,3.75,NA,NA,0.06,NA,0.3,0.15,NA,0.55,44.8275862068966,62
"Mimosa","Mimosa_egregia","shrubs","","pseudoraceme of amentiform spikes","","5-merous",NA,NA,NA,NA,"campanulate","10","pale pink fading whitish",NA,NA,"","",NA,"",275,25,NA,NA,NA,NA,0.09,0.0125,0.225,NA,NA,0.5,44.8275862068966,62
"Mimosa","Mimosa_rhododactyla","arborescent shrubs","","spikes","","4- or 5- or 6-merous",NA,NA,NA,NA,"campanulate or turbinate-campanulate","8","pink",NA,NA,"","",NA,"",450,NA,NA,NA,NA,NA,0.105,0.0175,0.25,0.11,NA,0.45,44.8275862068966,62
"Mimosa","Mimosa_mellii","shrubs, treelets","","pseudoraceme","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,62
"Mimosa","Mimosa_schleidenii","subshrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"pappiform","4","pink-purple",NA,NA,"","",NA,"",NA,0.75,NA,10.5,NA,NA,0.09,NA,0.275,0.12,0.055,0.4,41.3793103448276,62
"Mimosa","Mimosa_pectinatipinna","shrubs","","capitula","globose","",NA,NA,NA,NA,"pappiform","","pink or white",NA,NA,"","",NA,"",190,0.45,NA,1.1,NA,NA,0.105,NA,0.195,0.06,0.05,0.4,37.9310344827586,62
"Mimosa","Mimosa_micropteris","shrubs and treelets","","capitula","globose or plumply ellipsoid","4-merous",NA,NA,NA,NA,"paleaceous-pappiform","4","pink or lilac",NA,NA,"","",NA,"",250,0.65,NA,0.2,NA,NA,0.14,NA,0.255,0.09,0.0475,0.475,37.9310344827586,62
"Mimosa","Mimosa_decorticans","arborescent shrubs and treelets","","capitula","globose or squatly ovoid-ellipsoid","4-merous",NA,NA,NA,NA,"","8","pink fading whitish",NA,NA,"","",NA,"",275,1.1,NA,3.75,NA,NA,0.08,NA,0.425,0.13,NA,1.2,41.3793103448276,62
"Mimosa","Mimosa_unipinnata","shrubs","","capitula","globose","4-merous",NA,NA,NA,NA,"campanulate","6(8)","",NA,NA,"","",NA,"",85,NA,NA,1.35,0.095,NA,0.045,0.01,0.215,0.09,NA,0.425,37.9310344827586,62
"Mimosa","Mimosa_distans","subshrubs and suffruticose Herbs","","capitula","globose or plumply ellipsoid","4-merous",NA,NA,NA,NA,"membranous","4","pink",NA,NA,"","",NA,"",70,0.65,NA,4.25,NA,NA,0.02,NA,0.26,0.11,0.05,0.625,37.9310344827586,62
"Mimosa","Mimosa_watsonii","high-climbing vines","","capitula","globose","4-merous",NA,NA,NA,NA,"campanulate","8","white",NA,NA,"","",NA,"",NA,0.45,NA,0.95,NA,NA,0.075,NA,0.22,0.12,0.0775,0.475,41.3793103448276,62
"Mimosa","Mimosa_guatemalensis","shrubs","","spikes","amentiform","4- or 5-merous",NA,NA,NA,NA,"campanulate","8(10)","pink",NA,NA,"","",NA,"",150,9.75,NA,NA,NA,NA,0.17,0.035,0.295,0.14,0.0725,0.525,37.9310344827586,62
"Mimosa","Mimosa_calcicola","shrubs","","capitula","globose","5-merous",NA,NA,NA,NA,"membranous narrowly campanulate","10","pink",NA,NA,"","",NA,"",100,NA,NA,0.8,NA,NA,0.145,0.025,0.295,NA,NA,0.4,44.8275862068966,62
"Mimosa","Mimosa_antrorsa","Shrubs and treelets","","capitula","globose or plumpy ovoid","4-merous",NA,NA,NA,NA,"campanulate","8","",NA,NA,"","",NA,"",300,NA,NA,2.25,NA,NA,0.055,NA,0.34,0.14,NA,0.475,44.8275862068966,62
"Mimosa","Mimosa_mollis","arborescent shrubs","","capitula","globose","5-merous",NA,NA,NA,NA,"campanulate","10","pink fading whitish",NA,NA,"","",NA,"",500,NA,NA,3.5,NA,NA,0.075,NA,0.375,0.15,NA,0.65,44.8275862068966,62
"Mimosa","Mimosa_spirocarpa","shrubs","","fl-spikes","amentiform","5-merous",NA,NA,NA,NA,"campanulate","10","pink fading whitish",NA,NA,"","",NA,"",NA,8,NA,NA,NA,NA,0.12,0.035,0.245,0.12,0.0725,0.575,41.3793103448276,62
"Mimosa","Mimosa_platycarpa","shrubs, trees","","capitula","","(4-)5","","","","","","","white, pale pink","","","","","","",4.5,NA,NA,14.5,NA,NA,0.675,NA,2.7,1,0.7,4.75,17.2413793103448,62
"Mimosa","Mimosa_acapulcensis","shrub","","capitula","globose","4-merous",NA,NA,NA,NA,"minute","4","pink",NA,NA,"","",NA,"",300,0.6,NA,3,NA,NA,0.055,NA,0.255,NA,NA,0.575,44.8275862068966,62
"Mimosa","Mimosa_palmeri","arborescent shrubs","","fl-spikes","","5-merous",NA,NA,NA,NA,"campanulate or turbinate-campanulate","10","pink",NA,NA,"","",NA,"",700,6.5,NA,NA,0.02,NA,0.09,0.015,0.255,0.13,NA,0.475,37.9310344827586,62
"Mimosa","Mimosa_manidea","rosette-trees","","capitula","ovoid-ellipsoid or globose","",NA,NA,NA,NA,"","","",NA,NA,"","",NA,"",300,1.45,NA,5,NA,NA,NA,NA,0.525,NA,NA,NA,51.7241379310345,62
"Mimosa","Mimosa_luisana","shrubs","","fl-spikes","","4- or 5-merous",NA,NA,NA,NA,"shallowly campanulate","","pink",NA,NA,"","",NA,"",300,NA,NA,1.7,NA,NA,0.04,NA,0.26,0.1,NA,0.575,44.8275862068966,62
"Mimosa","Mimosa_depauperata","shrubs","","capitula","","4-merous",NA,NA,NA,NA,"","4","pink",NA,NA,"","",NA,"",85,NA,NA,0.45,0.035,NA,0.065,NA,0.265,NA,NA,0.4,44.8275862068966,62
"Mimosa","Mimosa_caesalpiniifolia","trees or potentially sarmentose shrubs","","amentiform fl-spikes","","3-merous",NA,NA,NA,NA,"","6","white",NA,NA,"","",NA,"",500,NA,NA,5,NA,NA,0.055,0.015,0.195,0.13,0.08,0.575,37.9310344827586,62
"Neltuma","Neltuma_alba","tree","","racemes, spikelike","","","","","","","","","","","","","","","",10,90,NA,NA,NA,NA,1,NA,3.1,NA,NA,4.5,24.1379310344828,3
"Neltuma","Neltuma_flexuosa","trees, large erect polypodial shrubs","","racemes, spiciform","","","","","","","","","","","","","","","",6.5,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4827586206897,3
"Neltuma","Neltuma_laevigata","tree","","racemes, spiciform","","","","","","","","","","","","","","","",6.5,70,NA,NA,NA,NA,1,NA,3.5,NA,NA,NA,27.5862068965517,3
"Neptunia","Neptunia_lutea","herb","","pedunculate spike, cylindrical","","5","","","","","","10","yellow","yes","","","","","",2.4,14.5,NA,74,NA,NA,1.85,0.6,3.05,NA,NA,7.3,17.2413793103448,3
"Neptunia","Neptunia_oleracea","herb","","pedunculate spike","","5","","","","","","10","white, yellow","no","","","","","",1.5,NA,NA,125,NA,NA,1.95,0.5,3.25,NA,NA,10.55,20.6896551724138,3
"Neptunia","Neptunia_plena","herb","","pedunculate spike","","5","","","","","","10","white, yellow","yes","","","","","",2,NA,NA,75,NA,NA,1.95,0.45,3.55,NA,NA,11.25,20.6896551724138,3
"Newtonia","Newtonia_buchananii","tree","","spike","","","","","","","","","","yes","","","","","",25,112.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4827586206897,2
"Newtonia","Newtonia_leucocarpa","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,2
"Osodendron","Osodendron_altissimum","tree, shrubs","","capitula","","5","","","","","","20","","","","","","","",2000,NA,NA,25,0.5,NA,2.6,0.5,6.25,NA,NA,14.5,17.2413793103448,3
"Painteria","Painteria_elachistophylla","shrubs","","capitula","","4-5","","","","","","28","","","","","","","",NA,NA,NA,3,NA,NA,1.2,0.225,4.7,1.4,0.95,10.5,17.2413793103448,2
"Parapiptadenia","Parapiptadenia_excelsa","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,1
"Pararchidendron","Pararchidendron_pruinosum","tree, shrub","","consisting of axillary pedunculate corymbs","","5","","","","","","numerous","white, cream","","","","","","",18,NA,NA,65,4.5,NA,1.5,0.8,6.1,0.75,NA,12,13.7931034482759,1
"Parasenegalia","Parasenegalia_vogeliana","treelets",NA,"capitula","globose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.2068965517241,2
"Parasenegalia","Parasenegalia_skleroxyla","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,2
"Paraserianthes","Paraserianthes_lophantha","trees",NA,"racemes",NA,"5-merous",NA,NA,"homomorphic",NA,"shallowly campanulate","96","greenishor lemon-yellow",NA,"obscure",NA,NA,NA,"",800,5.75,NA,1.5,NA,NA,0.26,0.08,0.61,0.22,0.145,1.475,41.3793103448276,1
"Parkia","Parkia_nitida","tree","","capitula, biglobos with basal staminoidal fringe, apical parts ellipsoid, apical parts obovoid","","","","","","","","","","","","","","","",40,700,NA,92.5,NA,NA,10.25,1,11.25,2,NA,NA,17.2413793103448,4
"Parkia","Parkia_pendula","tree","","capitula","","","","","","","","","","","","","","","",45,600,NA,725,NA,NA,9.25,2,10.75,6,NA,NA,17.2413793103448,4
"Parkia","Parkia_panurensis","tree","","capitula, biglobos with basal staminoidal fringe, apical parts spherical, apical parts ellipsoid","","","","","","","","","","","","","","","",26.5,57.5,NA,155,NA,NA,8.75,1,11,1.25,NA,NA,17.2413793103448,4
"Parkia","Parkia_cachimboensis","tree, shrub","","capitula, compound infloroscence, capitula clavate with basal staminodial fringe absent or only weakly developed","","","","","","","","","","","","","","","",5,200,NA,40,NA,NA,6.5,1.5,8.5,2.25,NA,NA,17.2413793103448,4
"Pentaclethra","Pentaclethra_macrophylla","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,3
"Piptadenia","Piptadenia_gonoacantha","tree","","terminal pseudoracemes, axillary spikes","","","","","","","","","white, yellowish-cream, rarely light pink","yes","","","","","",11.5,84,9.5,5,NA,NA,0.6,0.15,2.1,1.4,NA,3.25,10.3448275862069,3
"Piptadenia","Piptadenia_adiantoides","liana, shrub","","spikes","spikes in pseudoracemes","","","","","","","","cream-colored, greenish-yellow, rarely light pink, red, vinaceous","yes","","","","","",9,89.5,6.5,13.5,0.2,NA,1.8,0.15,4.1,1.75,NA,5.45,6.89655172413793,3
"Piptadenia","Piptadenia_paniculata","tree","","mostly in terminal panicles, mostly in terminal pseudoracemes, spike","","","","","","","","","greenish-yellow","yes","","","","","",13,52,7.5,8,0.2,NA,0.5,0.15,1.9,1.4,NA,4.5,6.89655172413793,3
"Piptadeniastrum","Piptadeniastrum_africanum","tree","","spiciform racemes","","","","","","","","","","","","","","","",50,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4827586206897,1
"Piptadeniopsis","Piptadeniopsis_lomentifera","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,1
"Pithecellobium","Pithecellobium_excelsum","arborescent shrubs and severaltrunked treelets",NA,"capitula",NA,"5- merous",NA,NA,"yes",NA,"campanulate",NA,"white",NA,"present",NA,NA,NA,"",500,NA,NA,4.25,NA,NA,0.185,0.02,0.865,0.2,0.11,NA,51.7241379310345,2
"Pithecellobium","Pithecellobium_peckii","trees",NA,"spikes",NA,"5-merous",NA,NA,"yes",NA,"shallowly campanulate or subhemispherical","32",NA,NA,"present",NA,NA,NA,"",1000,2.5,NA,NA,NA,NA,0.12,0.02,NA,NA,NA,1.85,58.6206896551724,2
"Pityrocarpa","Pityrocarpa_moniliformis","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,1
"Plathymenia","Plathymenia_reticulata","tree","","axillary, racemose, erect","","5","","","","","","10","white","yes","","","","","",26,87.5,NA,NA,NA,NA,3,NA,3.75,1.05,NA,6,20.6896551724138,1
"Prosopidastrum","Prosopidastrum_globosum","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,1
"Prosopis","Prosopis_farcta","shrubs, subshrubs, sometimes shrub-trees","","racemes simple, elongate","","","","","","","","","","yes","","","","","",1.65,80,NA,NA,NA,NA,1,NA,3.75,NA,NA,4.5,24.1379310344828,3
"Pseudalbizzia","Pseudalbizzia_multiflora","trees",NA,"capitula",NA,"6-merous",NA,NA,NA,NA,"campanulate",NA,NA,NA,"present",NA,NA,NA,"",1000,11.5,0.7,0.8,NA,NA,0.14,0.0175,0.35,0.105,0.085,0.775,48.2758620689655,2
"Pseudalbizzia","Pseudalbizzia_inundata","tree",NA,"capitula",NA,"5-merous",NA,NA,NA,NA,"campanulate or turbinate-campanulate",NA,NA,NA,"present",NA,NA,NA,"",200,8.5,NA,0.55,0.55,NA,0.0925,0.0225,0.295,0.13,NA,0.65,51.7241379310345,2
"Pseudoprosopis","Pseudoprosopis_fischeri","shrub, tree","","","","","","","","","","","","","","","","","",4.5,85,NA,6.5,3.25,NA,1.25,NA,4.25,NA,NA,6.5,17.2413793103448,1
"Pseudosamanea","Pseudosamanea_guachapele","tree","","pedunculate, umbellate","","5","","","","","","","","","","","","","",2500,NA,NA,NA,NA,NA,6.5,NA,9.5,NA,NA,NA,31.0344827586207,3
"Pseudosamanea","Pseudosamanea_carbonaria","Trees",NA,"capitula",NA,"S-merous",NA,NA,"yes",NA,"narrowly campanulate",NA,"white",NA,"present","present",NA,NA,"",500,1.35,NA,3.2,0.275,NA,0.3,0.09,0.54,0.175,NA,1.475,41.3793103448276,3
"Pseudosenegalia","Pseudosenegalia_feddeana","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,2
"Punjuba","Punjuba_callejasii","tree",NA,"racemes",NA,"5-merous",NA,NA,"yes",NA,"campanulate or turbinate-campanulate","32",NA,NA,"present",NA,NA,NA,"",1050,4.5,NA,5,0.175,0.035,0.265,0.035,0.685,0.21,0.105,1.5,37.9310344827586,5
"Punjuba","Punjuba_lehmannii","Macrophyllidious srees",NA,"spikes",NA,"5-merous",NA,NA,NA,NA,"campanulate","40",NA,NA,"present",NA,NA,NA,"",950,9,NA,2.5,0.03,NA,0.135,0.05,0.575,0.115,0.0825,NA,48.2758620689655,5
"Robrichia","Robrichia_schomburgkii","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,3
"Samanea","Samanea_saman","tree",NA,"capitula","hemispherical","5-9-merous",NA,NA,"yes",NA,"slenderly vase-shaped",NA,"white proximally, pink or red distally",NA,"present",NA,NA,NA,"",2750,NA,NA,6.25,0.225,0.045,0.59,0.095,1.1,0.255,0.135,3.25,37.9310344827586,3
"Senegalia","Senegalia_interior","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_rovumae","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_parviceps","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_burkei","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_berlandieri","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
"Senegalia","Senegalia_picachensis","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3793103448276,22
