"filename","created_at","taxon","taxon_original","method","habit","root_system","height_min","height_low","height_high","height_max","height_unit","inflorescence_type","inflorescence_shape","inflorescence_length_min","inflorescence_length_low","inflorescence_length_high","inflorescence_length_max","inflorescence_length_unit","inflorescence_width_min","inflorescence_width_low","inflorescence_width_high","inflorescence_width_max","inflorescence_width_unit","inflorescence_peduncle_length_min","inflorescence_peduncle_length_low","inflorescence_peduncle_length_high","inflorescence_peduncle_length_max","inflorescence_peduncle_length_unit","flower_merosity","pedicel_length_min","pedicel_length_low","pedicel_length_high","pedicel_length_max","pedicel_length_unit","pedicel_width_min","pedicel_width_low","pedicel_width_high","pedicel_width_max","pedicel_width_unit","bisexual_flowers_presence","male_flowers_presence","heteromorphic_flower_presence","sterile_flower_presence","calyx_shape","calyx_length_min","calyx_length_low","calyx_length_high","calyx_length_max","calyx_length_unit","calyx_lobe_length_min","calyx_lobe_length_low","calyx_lobe_length_high","calyx_lobe_length_max","calyx_lobe_length_unit.","corolla_length_min","corolla_length_low","corolla_length_high","corolla_length_max","corolla_length_unit","corolla_lobe_length_min","corolla_lobe_length_low","corolla_lobe_length_high","corolla_lobe_length_max","corolla_lobe_length_unit","corolla_lobe_width_min","corolla_lobe_width_low","corolla_lobe_width_high","corolla_lobe_width_max","corolla_lobe_width_unit","stamen_count","filament_length_min","filament_length_low","filament_length_high","filament_length_max","filament_length_unit","filament_color","anther_gland_presence","stemonozone_presence","stamen_tube_presence","staminal_tube_presence","intrastaminal_nectary_presence","nectary_presence","obs"
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0148.txt","2025-10-02T20:13:02.798748","Pseudalbizzia_decandra","Albizia decandra","automatic","Trees",NA,20,NA,30,NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,19,NA,"mm","5- or 6-merous",0.1,NA,1.2,NA,"mm",NA,NA,NA,NA,NA,NA,NA,"TRUE",NA,"campanulate",NA,1,1.2,NA,"mm",NA,0.1,"0.2",NA,"mm",NA,3.6,3.8,NA,"mm",NA,1.3,2,NA,"mm",NA,0.8,1,NA,"mm","10",11,11,17,17,"mm",NA,NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0152.txt","2025-10-02T20:15:33.608199","Albizia_julibrissin","Albizia julibrissin","automatic","trees",NA,NA,6,12,NA,"m","pseudoraceme of capitula",NA,"3",NA,9,NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,"mm",NA,NA,NA,NA,NA,"bisexual","staminate","dimorphic",NA,"campanulate or deeply campannlate",2.2,2.2,4.2,4.5,"mm",NA,0.3,"0.7",NA,"mm",7,7,11,11,"mm",NA,1.3,2.6,NA,"mm",NA,0.9,1.2,NA,"mm",NA,24,24,38,38,"mm","pink or pinkish orange",NA,"the stemonozone 1 mm or less","the filament-tube far-exserted",NA,NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0153.txt","2025-10-02T20:16:10.632952","Albizia_procera","Albizia procera","automatic","tree",NA,NA,2,4,25,"m","capitula","subglobose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,19,NA,"mm","5-merous",NA,7,19,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"deeply campanulate",2.6,2.6,3.3,3.3,"mm",0.2,0.2,"0.6",0.6,"mm",NA,5.5,6.7,NA,"mm",NA,1.2,2.2,NA,"mm",NA,NA,NA,NA,NA,"30",9,9,11,11,"mm","whitish",NA,"present",NA,"present",NA,"",NA
"Barneby_and_Grimes_1996_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_I_treatment_0156.txt","2025-10-02T20:18:06.511233","Paraserianthes_lophantha","Paraserianthes lophantha","automatic","trees",NA,NA,NA,8,NA,"m","racemes",NA,NA,45,70,NA,"mm",NA,NA,NA,NA,NA,1,1,2,2,"cm","5-merous",NA,NA,NA,NA,"mm",NA,NA,NA,NA,NA,NA,NA,"homomorphic",NA,"shallowly campanulate",2.2,2.2,3,3,"mm",0.6,0.6,"1",1,"mm",5,5,7.2,NA,"mm",NA,1.4,3,NA,"mm",NA,1.1,1.8,NA,"mm","96",NA,13,16.5,NA,"mm","greenishor lemon-yellow",NA,"obscure",NA,NA,NA,"",NA
"Barneby_and_Grimes_1997_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_II_treatment_0011.txt","2025-10-02T20:26:15.163473","Pithecellobium_dulce","Pithecellobium dulce","automatic","tree",NA,NA,2,18,NA,"m","capitula","subspherical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,20,24,"mm","5-merous",4,NA,20,24,"mm",0.35,0.4,0.6,NA,"mm","present","present",NA,NA,"campanulate or turbinate-campanulate",1.1,1.3,2,2.2,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1.6,NA,"mm",NA,0.7,1.1,NA,"mm","26",NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1997_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_II_treatment_0018.txt","2025-10-02T20:30:32.803117","Pithecellobium_furcatum","Pithecellobium furcatum","automatic","trees and arborescent shrubs",NA,3,NA,12,NA,"m","spikes",NA,NA,4,12,NA,"mm",NA,NA,NA,NA,NA,0.4,NA,3,NA,"cm","S-merous",0.4,NA,3,NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cylindric or cylindro-campanulate",4.5,4.5,7.5,7.5,"mm",0.6,0.6,"1.5",1.5,"mm",8,8,12,12,"mm",1.7,1.7,2.5,2.5,"mm",1.2,1.2,2,2,"mm",NA,NA,31,46,NA,"mm",NA,NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1997_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_II_treatment_0031.txt","2025-10-02T20:38:33.615156","Cojoba_graciliflora","Cojoba graciliflora","automatic","shrubs, trees",NA,NA,NA,1,15,"m","capitula","globose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7.6,NA,"cm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cylindrical-campanulate",2.5,2.5,5,5,"mm",0.25,0.25,"0.75",0.75,"mm",9,9,16,16,"mm",0.75,0.75,2,2,"mm",NA,NA,NA,NA,NA,"21",NA,10,25,NA,"mm",NA,NA,"present",NA,"present",NA,"",NA
"Barneby_and_Grimes_1997_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_II_treatment_0035.txt","2025-10-02T20:41:00.332043","Zygia_claviflora","Zygia claviflora","automatic","Slender multifoliolate cauliflorous trees",NA,1.5,3,10,NA,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"campanulate",NA,NA,0.8,1.2,"mm",NA,0.1,"0.2",NA,"mm",6,NA,10,NA,"mm",0.9,NA,1.3,NA,"mm",NA,NA,NA,NA,NA,NA,NA,21,33,NA,"mm","red or pink",NA,"present",NA,"present",NA,"",NA
"Barneby_and_Grimes_1997_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_II_treatment_0039.txt","2025-10-02T20:43:22.866194","Zygia_lathetica","Zygia lathetica","automatic","Slender trees",NA,6,NA,15,NA,"m","pseudoracemes",NA,NA,1.5,3.5,NA,"cm",NA,NA,NA,NA,NA,5,NA,18,NA,"mm",NA,5,NA,18,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"campanulate",2,2,2.3,NA,"mm",0.1,0.1,"0.25",NA,"mm",14,14,19,19,"mm",1.5,1.5,3.2,3.2,"mm",NA,NA,NA,NA,NA,NA,36,36,40,40,"mm","lilac",NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1997_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_II_treatment_0040.txt","2025-10-02T20:43:59.111837","Zygia_racemosa","Zygia racemosa","automatic","trees",NA,6,8,30,NA,"m","capitula",NA,NA,NA,1,11,"mm",NA,NA,NA,NA,NA,1.5,3,11,NA,"mm","5-merous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"campanulate or hemisphericat",0.7,0.7,1.1,NA,"mm",NA,0.05,"0.15",NA,"mm",3.2,3.2,4.3,4.5,"mm",0.6,0.6,1.1,1.1,"mm",NA,NA,NA,NA,NA,"22",NA,11,15.5,NA,"mm","ochroleucous, whitish, yellow-tipped, or orange",NA,"present",NA,NA,NA,"",NA
"Barneby_and_Grimes_1997_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_II_treatment_0072.txt","2025-10-02T21:02:59.530263","Zygia_peckii","Zygia peckii","automatic","trees",NA,NA,4,9,NA,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,NA,"mm","5-merous",NA,2,11,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"campanulate",2,2,3.2,3.2,"mm",NA,NA,"0.4",NA,"mm",NA,6.5,8,NA,"mm",NA,1,1.8,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,"present","",NA
"Barneby_and_Grimes_1997_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_II_treatment_0081.txt","2025-10-02T21:08:23.194762","Zygia_longifolia","Zygia longifolia","automatic","trees",NA,6,NA,20,24,"m","spikes",NA,NA,NA,NA,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mm","5(-10)-nerved",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"campanulate",NA,0.8,1.3,NA,"mm",NA,0.15,"0.5",NA,"mm",NA,NA,NA,NA,NA,NA,0.5,1.4,NA,"mm",NA,NA,NA,NA,NA,"30",NA,14.5,21,NA,"mm","whitish",NA,NA,"present",NA,NA,"",NA
"Barneby_and_Grimes_1997_Silk_Tree_Guanacaste_Monkey_s_Earring_Part_II_treatment_0082.txt","2025-10-02T21:08:59.202165","Zygia_paucijugata","Zygia paucijugata","automatic","Arborescent shrubs",NA,NA,NA,7,NA,"m","capitula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"campanulate",1.1,1.1,2.7,3.2,"mm",NA,0.3,"1",1,"mm",6,NA,8.5,NA,"mm",NA,0.8,1.2,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,"present","",NA
"Ebinger_Seigler_Clarke_2000_Taxonomic_Revision_of_South_American_Acacia_treatment_0001.txt","2025-10-02T21:19:56.136867","Vachellia_collinsii","Acacia collinsii","automatic","Tree",NA,NA,NA,10,NA,"m","cylindrical spike",NA,"15",NA,35,NA,"mm",4,NA,6,NA,"mm",6,NA,20,NA,"mm","5-merous",NA,6,20,NA,"mm",NA,0.8,1.8,NA,"mm",NA,NA,NA,NA,NA,1,1,1.4,1.4,"mm",NA,NA,NA,NA,NA,NA,1.1,1.5,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,2.5,NA,"mm",NA,NA,NA,NA,NA,NA,"",NA
"Ebinger_Seigler_Clarke_2000_Taxonomic_Revision_of_South_American_Acacia_treatment_0006.txt","2025-10-02T21:23:07.098647","Vachellia_pennatula","Acacia pennatula","automatic","Tree",NA,NA,NA,15,NA,"m","globose head","globose",NA,9,13,NA,"mm",NA,9,13,NA,"mm",NA,16,30,NA,"mm","5-merous",NA,16,30,NA,"mm",NA,0.5,0.8,NA,"mm",NA,NA,NA,NA,NA,NA,0.7,1.6,NA,"mm",NA,NA,NA,NA,NA,NA,2,2.6,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4.5,NA,"mm",NA,NA,NA,NA,NA,NA,"",NA
"Ebinger_Seigler_Clarke_2000_Taxonomic_Revision_of_South_American_Acacia_treatment_0011.txt","2025-10-02T21:26:10.803205","Vachellia_farnesiana","Acacia farnesiana","automatic","shrub to small tree",NA,NA,NA,8,NA,"m","globose head","globose",NA,6,10,NA,"mm",NA,6,10,NA,"mm",NA,15,36,45,"mm","5-lobed",NA,15,36,45,"mm",0.2,NA,0.7,NA,"mm",NA,NA,NA,NA,NA,NA,1.1,1.8,NA,"mm",NA,NA,NA,NA,NA,NA,1.9,2.8,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,5.5,NA,"mm",NA,NA,NA,NA,NA,NA,"",NA
"flora_australia_11a_mimosaceae_acacia_1_2_treatment_0002.txt","2025-10-02T21:29:51.751709","Vachellia_pachyphloia","Acacia pachyphloia","automatic","shrub or tree",NA,2,NA,10,14,"m","heads","globular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,55,NA,"mm",NA,NA,8,55,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"flora_australia_11a_mimosaceae_acacia_1_2_treatment_0003.txt","2025-10-02T21:30:28.688100","Vachellia_pachyphloia","Acacia pachyphloia subsp. pachyphloia","automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"flora_australia_11a_mimosaceae_acacia_1_2_treatment_0005.txt","2025-10-02T21:31:42.432729","Vachellia_pallidifolia","Acacia pallidifolia","automatic","Tree",NA,NA,4,9,NA,"m","heads","globular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25,43,NA,"mm",NA,7,25,43,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"flora_australia_11a_mimosaceae_acacia_1_2_treatment_0011.txt","2025-10-02T21:35:27.126181","Vachellia_farnesiana","Acacia farnesiana","automatic","shrub",NA,NA,NA,4,7,"m","heads","globular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,30,57,"mm",NA,3,3,30,57,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"flora_australia_11a_mimosaceae_acacia_1_2_treatment_0013.txt","2025-10-02T21:36:39.702721","Senegalia_chundra","Acacia catechu var. sundra","automatic","Tree",NA,NA,NA,6,NA,"m","spicate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cupular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"inga_treatment_0017.txt","2025-10-03T21:11:57.044929","Inga_cordatoalata","Inga cordatoalata","automatic","tree",NA,NA,NA,30,NA,"m","racemose",NA,NA,2.5,6,NA,"cm",NA,NA,NA,NA,NA,0.6,NA,2.5,NA,"cm",NA,0.5,NA,1,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cup-shaped",NA,NA,NA,NA,NA,NA,0.25,"0.25",NA,"mm",NA,NA,NA,NA,NA,1,1,1,1,"mm",NA,NA,NA,NA,NA,"40",5,5,7,7,"mm","white",NA,NA,NA,"present",NA,"",NA
"inga_treatment_0022.txt","2025-10-03T21:15:10.870662","Inga_alba","Inga alba","automatic","Tree",NA,NA,NA,40,NA,"m","congested spike",NA,NA,5,8,NA,"mm",NA,NA,NA,NA,NA,4,NA,20,NA,"mm",NA,4,NA,20,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,NA,"mm",NA,NA,NA,NA,NA,"25",4.5,4.5,6,6,"mm","white or cream-coloured",NA,NA,NA,"present",NA,"",NA
"inga_treatment_0025.txt","2025-10-03T21:17:10.067437","Inga_microcalyx","Inga microcalyx","automatic","tree",NA,NA,NA,8,NA,"m","spike","congested",NA,2,4,NA,"cm",NA,NA,NA,NA,NA,7,7,10,10,"cm",NA,0,NA,0.5,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cup-shaped",NA,NA,NA,NA,NA,NA,0.25,NA,NA,"mm",NA,NA,NA,NA,NA,NA,1.5,2,NA,"mm",NA,NA,NA,NA,NA,"30",1,1,1.5,1.5,"cm","white",NA,NA,NA,"present",NA,"",NA
"inga_treatment_0029.txt","2025-10-03T21:19:51.760861","Inga_samanensis","Inga samanensis","automatic","tree",NA,NA,NA,20,NA,"m","spike",NA,"1.4",NA,2,4,"cm",NA,NA,NA,NA,NA,0.6,0.6,1.5,1.5,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tubular",NA,NA,NA,NA,NA,0.25,0.25,"0.25",0.25,"mm",NA,NA,NA,NA,NA,1,NA,1.5,NA,"mm",NA,NA,NA,NA,NA,"33",NA,1,NA,NA,"cm","white",NA,NA,"present","present",NA,"",NA
"inga_treatment_0032.txt","2025-10-03T21:21:58.155731","Inga_sertulifera","Inga sertulifera","automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,7.5,NA,"cm",NA,7,NA,20,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"tubular",NA,NA,NA,NA,NA,0.1,NA,"1",NA,"mm",NA,NA,NA,NA,NA,1.5,NA,3,NA,"mm",NA,NA,NA,NA,NA,"50",1.1,1.1,1.7,1.7,"cm",NA,NA,NA,"present","present",NA,"",NA
"inga_treatment_0048.txt","2025-10-03T21:32:33.739147","Inga_umbellifera","Inga umbellifera","automatic","tree",NA,NA,NA,20,NA,"m","umbellate","globose","1.5",NA,4,NA,"mm",NA,NA,NA,NA,NA,NA,1.2,5,NA,"cm",NA,0.7,NA,2,NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"tubular",NA,NA,NA,NA,NA,0.25,NA,"1",NA,"mm",NA,NA,NA,NA,NA,1,NA,2.5,NA,"mm",NA,NA,NA,NA,NA,"25",1.5,1.5,2,2,"cm","white",NA,NA,NA,"present",NA,"",NA
"inga_treatment_0058.txt","2025-10-03T21:39:09.117306","Inga_filiformis","Inga filiformis","automatic","tree",NA,NA,NA,15,NA,"m","capitate","subglobose",NA,2,3,NA,"mm",NA,NA,NA,NA,NA,NA,8,11.5,NA,"cm",NA,0,NA,0.5,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"3",NA,"mm",NA,NA,NA,NA,NA,NA,2,2,NA,"mm",NA,NA,NA,NA,NA,"45",NA,1.4,NA,NA,"cm","white",NA,NA,"present","present",NA,"",NA
"inga_treatment_0061.txt","2025-10-03T21:41:12.300960","Inga_arenicola","Inga arenicola","automatic","treelet",NA,NA,3,4,NA,"m","capitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,9,9,"cm",NA,0.5,0.5,0.75,0.75,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"funnel-shaped",NA,NA,NA,NA,NA,2,2,"3",3,"mm",NA,7,8,NA,"mm",1,1,1.5,NA,"mm",NA,NA,NA,NA,NA,"35",NA,1,NA,NA,"cm",NA,NA,NA,"present","present",NA,"",NA
"inga_treatment_0064.txt","2025-10-03T21:43:08.910051","Inga_bullatorugosa","Inga bullatorugosa","automatic","small tree",NA,NA,NA,NA,NA,NA,"umbellate","globose",NA,2,2,NA,"mm",NA,NA,NA,NA,NA,NA,2,5,NA,"mm",NA,10,10,15,15,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"narrowly funnel-shaped",NA,NA,NA,NA,NA,NA,0.5,"0.5",NA,"mm",NA,NA,NA,NA,NA,1,1,1.5,1.5,"mm",NA,NA,NA,NA,NA,"50",9,9,10,10,"mm",NA,NA,NA,"present","present",NA,"",NA
"inga_treatment_0065.txt","2025-10-03T21:43:49.280938","Inga_umbratica","Inga umbratica","automatic","tree",NA,NA,NA,20,NA,"m","umbellate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,12,NA,"mm",NA,NA,0.75,5,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"tubular",NA,NA,NA,NA,NA,NA,0.25,"0.3",NA,"mm",NA,NA,NA,NA,NA,NA,0.75,1.5,NA,"mm",NA,NA,NA,NA,NA,"20",6,6,12,12,"mm","white",NA,NA,NA,"present",NA,"",NA
"inga_treatment_0067.txt","2025-10-03T21:45:07.521759","Inga_lallensis","Inga lallensis","automatic","tree",NA,NA,NA,8,NA,"m","umbellate","globose",NA,3,5,NA,"mm",NA,NA,NA,NA,NA,NA,2.5,8.5,NA,"cm",NA,1.5,NA,4,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cup-shaped",NA,NA,NA,NA,NA,0.25,0.25,"0.5",0.5,"mm",NA,NA,NA,NA,NA,1,NA,1.5,NA,"mm",NA,NA,NA,NA,NA,"40",7,7,10,10,"mm",NA,NA,NA,NA,"present",NA,"",NA
"inga_treatment_0075.txt","2025-10-03T21:50:16.671887","Inga_golfodulcensis","Inga golfodulcensis","automatic","tree",NA,NA,NA,25,NA,"m","congested spike",NA,NA,0.4,0.5,NA,"cm",NA,NA,NA,NA,NA,NA,1.2,1.5,NA,"cm",NA,NA,0.5,0.5,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"funnel-shaped",NA,NA,2.25,NA,"mm",NA,0.25,NA,NA,"mm",NA,NA,NA,NA,NA,NA,1.5,NA,NA,"mm",NA,NA,NA,NA,NA,"40",NA,NA,NA,NA,"cm",NA,NA,NA,NA,"present",NA,"",NA
"inga_treatment_0091.txt","2025-10-03T22:00:25.127790","Inga_mortoniana","Inga mortoniana","automatic","tree",NA,NA,NA,15,NA,"m","capitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tubular or narrowly funnel-shaped, often slightly curved",NA,NA,NA,NA,NA,0.2,0.2,"1",1,"mm",NA,8,11,NA,"mm",NA,1,2,NA,"mm",NA,NA,NA,NA,NA,"45",NA,8,9,NA,"mm","pure white",NA,NA,"present",NA,NA,"",NA
"inga_treatment_0092.txt","2025-10-03T22:01:03.629228","Inga_ruiziana","Inga melinonis","automatic","Tree",NA,NA,NA,20,NA,"m","spike",NA,"1",1,2,NA,"cm",NA,NA,NA,NA,NA,1,NA,4,NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,2,2,"mm",NA,NA,NA,NA,NA,"35",NA,10,10,NA,"mm","white",NA,NA,NA,"present",NA,"",NA
"inga_treatment_0093.txt","2025-10-03T22:01:41.519381","Inga_ruiziana","Inga ruiziana","automatic","tree",NA,NA,NA,30,NA,"m","congested spike",NA,NA,0.5,1.5,NA,"cm",NA,NA,NA,NA,NA,0.8,NA,4.5,NA,"cm",NA,0,0,0.5,NA,"mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,"1",1,"mm",NA,NA,NA,NA,NA,NA,1.5,2,NA,"mm",NA,NA,NA,NA,NA,"50",NA,9,10,NA,"mm","white",NA,NA,NA,"present",NA,"",NA
"inga_treatment_0096.txt","2025-10-03T22:03:37.845062","Inga_nobilis","Inga nobilis","automatic",NA,NA,NA,NA,NA,NA,NA,"spike, capitulum or umbel","globose, clavate or unexpanded","0.2",NA,2,NA,"cm",NA,NA,NA,NA,NA,NA,0.5,8,NA,"cm",NA,0,NA,1.7,NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2.5,3,"mm",NA,NA,NA,NA,NA,"35",1.2,1.2,2,2,"cm",NA,NA,NA,"present","present",NA,"",NA
"inga_treatment_0109.txt","2025-10-03T22:24:32.033121","Inga_maritima","Inga maritima","automatic","Shrub or small tree",NA,NA,NA,7,NA,"m","spike",NA,"1.5",NA,3.5,NA,"cm",NA,NA,NA,NA,NA,NA,2,2.5,NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,"mm",NA,NA,NA,NA,NA,NA,2,NA,NA,"mm",NA,NA,NA,NA,NA,"35",NA,1.2,NA,NA,"cm","white",NA,NA,NA,"present",NA,"",NA
"inga_treatment_0116.txt","2025-10-04T00:34:37.469015","Inga_tenuicalyx","Inga tenuicalyx","automatic","tree",NA,NA,NA,5,NA,"m","spike",NA,"2",2,3.5,3.5,"cm",NA,NA,NA,NA,NA,3.5,3.5,5,5,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,10,10,"mm",2,2,"5",5,"mm",NA,11.5,NA,NA,"mm",NA,1.5,NA,NA,"mm",NA,NA,NA,NA,NA,"55",NA,2,NA,NA,"cm","white",NA,NA,NA,"present",NA,"",NA
"inga_treatment_0117.txt","2025-10-04T00:35:16.483846","Inga_stenoptera","Inga stenoptera","automatic","tree",NA,NA,15,20,30,"m","spike",NA,NA,0.5,2,NA,"cm",NA,NA,NA,NA,NA,1.5,NA,6,NA,"cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tubular to narrowly funnel-shaped",NA,NA,NA,NA,NA,0.5,0.5,"2",2,"mm",NA,NA,NA,NA,NA,1.5,1.5,3,NA,"mm",NA,NA,NA,NA,NA,"40",1,1,2,2,"cm","cream-coloured",NA,NA,"present","present",NA,"",NA
