"species","Priority","Trait.reference","Link.to.reference","Trait.extraction.method","OBS","Habit","Height (m)","Leaf duration (evergreen/deciduous [usually not mentioned in the description])","Brachyblast presence [a proxy for leaf duration; sometimes described as ""short shoot""]","Prickles presence (are corky projections from a plant's skin, or dermal tissue.)","Stipular spines presence","stipule spine length(mm)","stipule spine width (mm)","stipule length (mm)","stipule width (mm)","Leaf length (mm)","Petiole length (mm)","Petiole extra-floral nectary presence","Rachis length (mm)","Rachis extra-floral nectary presence","Number of pinnae pairs (integer)","Pinnae length (mm)","Pinnae rachis length (mm)","Pinna extra-floral nectary presence","Number of leaflet pairs (integer)","Leaflet length (mm)","Leaflet width (mm)","Leaflet shape (text)","Leaflet base shape (text)","Leaflet apex shape (text)","Extrafloral nectary (in general)","Peduncle length (mm)","Pedicel (mm)","Inflorescence length (mm)","Infloresence main rachis length (mm)","Inflorescence width (mm)","Inflorescence shape (text)","Inflorescence arrangement / synflorescence (text)","Calyx merism (integer [sometimes not available when minute and gamosepalous])","Calyx length (mm)","Calyx lobe length (mm)","Calyx lobe width (mm)","Corolla merism (integer)","Corolla length (mm)","Corolla lobe length (mm)","Corolla lobe width (mm)","Flower color","Corolla color (text)","Number of stamens (integer)","Stamen/fillament length (mm)","Stamen color","Anther length (mm)","Anther width (mm)","Anther color","Anther gland presence","Nectary presence","Ovary length (mm)","Ovary width (mm)","Style length (mm)","Stigma shape","Fruit type (text)","Fruit length (mm)","Fruit width (mm)","Fruit thickness (mm)","Fruit shape (text)","Fruit base shape (text)","Fruit apex shape (text)","Fruit color","Number of Seeds","Seed length (mm)","Seed width (mm)","Seed thickness (mm)","Seed shape","Seed color (text)","Source used","traits scored specifically for this species","Varieties present (scored before the use of phylogeny highlighted orange)","refercence notes"
"Mariosousa_heterophylla","Low","Maslin, B. 2001. Flora of Australia, Mimosaceae, Acacia.",NA,"automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senegalia_wrightii","Low","Maslin, B. 2001. Flora of Australia, Mimosaceae, Acacia.",NA,"automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vachellia_xanthophloea","Low","Maslin, B. 2001. Flora of Australia, Mimosaceae, Acacia.",NA,"automatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acaciella_bicolor","High","Arce, M. D. L. R., & Bachman, S. (2006, December). A taxonomic revision of Acaciella (Leguminosae, Mimosoideae). In Anales del Jard‚àö‚â†n Bot‚àö¬∞nico de Madrid (Vol. 63, No. 2, pp. 189-244).","https://www.dropbox.com/s/tu4gddsbkveteno/Rico-Arce_and_Bachman-2006-%20A%20taxonomic%20revision%20of%20Acaciella%20%28Leguminosae%2C%20Mimosoideae%29%20.pdf?dl=0","manual",NA,"shrub, perennial herb","<= 4",NA,NA,"no","no","5",NA,"5",NA,"45-80(-120)","(13-) 30-40","no","15-50(-80)","no","3-10","20-60(-90)",NA,"no","15-32","6-15","2-6(-8)","narrowly elliptic","oblique","rounded, slightly mucronate","no","10-15","2",NA,NA,"≤15",NA,NA,"5","1",NA,NA,"5","2.5",NA,NA,"white",NA,NA,"6-7",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,"legume","60-65","10-14","3","flat, straight","acute","acute",NA,"6-12",NA,NA,NA,NA,NA,"Same","yes","—","found"
"Acaciella_chamelensis","High","Arce, M. D. L. R., & Bachman, S. (2006, December). A taxonomic revision of Acaciella (Leguminosae, Mimosoideae). In Anales del Jard‚àö‚â†n Bot‚àö¬∞nico de Madrid (Vol. 63, No. 2, pp. 189-244).","https://www.dropbox.com/s/tu4gddsbkveteno/Rico-Arce_and_Bachman-2006-%20A%20taxonomic%20revision%20of%20Acaciella%20%28Leguminosae%2C%20Mimosoideae%29%20.pdf?dl=0","manual",NA,"shrub","6",NA,NA,"no","no","7",NA,"7",NA,"<=150","30-65","no","<=85","no","2-4","60-85",NA,"no","6-10","8-22","4-7","elliptic","acute","acute","no","10-15","1-1.5","<= 200",NA,NA,"capitulum-like raceme","clusters of 2-4 capitulum-like racemes on a main axis","5","1-1.3",NA,NA,"5","2.5",NA,NA,"white",NA,NA,"4.5",NA,NA,NA,NA,"no","yes","1",NA,NA,NA,"legume","45-50","15-18","3","flat, straight","rounded","acute",NA,"6-8",NA,NA,NA,NA,NA,"same","yes","—",NA
"Acaciella_goldmanii","High","Arce, M. D. L. R., & Bachman, S. (2006, December). A taxonomic revision of Acaciella (Leguminosae, Mimosoideae). In Anales del Jard‚àö‚â†n Bot‚àö¬∞nico de Madrid (Vol. 63, No. 2, pp. 189-244).","https://www.dropbox.com/s/tu4gddsbkveteno/Rico-Arce_and_Bachman-2006-%20A%20taxonomic%20revision%20of%20Acaciella%20%28Leguminosae%2C%20Mimosoideae%29%20.pdf?dl=0","manual",NA,"shrub","<= 3",NA,NA,"no","no","2.25","<= 1","2.25","<= 1","30-90","13-30","no","20-35","no","(3) 4-5","(25) 30-55",NA,"no","14-28","6-12","(0.8) 1-1.5","narrowly oblong","rounded","acute","no","15-17","0.6-0.7 (0.8)","13",NA,NA,"raceme","clusters of 2 racemes in branch axils","5","0.6",NA,NA,"5","2",NA,NA,"white",NA,NA,"3.5",NA,NA,NA,NA,"no","yes","1.2",NA,NA,NA,"legume","45-47 (60)","(8)-10","2","flat, straight","acute","acute",NA,"4-6","3.7-4.6","2.4-3.7","1.4-1.8","widely elliptic",NA,"same","yes","—",NA
"Acaciella_painteri","High","Arce, M. D. L. R., & Bachman, S. (2006, December). A taxonomic revision of Acaciella (Leguminosae, Mimosoideae). In Anales del Jard‚àö‚â†n Bot‚àö¬∞nico de Madrid (Vol. 63, No. 2, pp. 189-244).","https://www.dropbox.com/s/tu4gddsbkveteno/Rico-Arce_and_Bachman-2006-%20A%20taxonomic%20revision%20of%20Acaciella%20%28Leguminosae%2C%20Mimosoideae%29%20.pdf?dl=0","manual",NA,"shrub","<= 5",NA,NA,"no","no","3-3.5 (4)",NA,"3-3.5 (4)",NA,"55-150 (180)","20-45","no","10-30","no","3-9","40-55 (80)",NA,"no","(16) 34-40 (58)","4.5-7 (12)","1.2-2 (3)","linear-oblong","oblique","round-acute","no","7-10","0.7-1",NA,"85-250",NA,"raceme","consisting of axillary and terminal racemes, consisting of clusters 2-3, racemes axillary or terminal, usually on a main axis","5","1",NA,NA,"5","2.3-2.5",NA,NA,"white",NA,NA,"4.5",NA,NA,NA,NA,"no","yes","1.2",NA,NA,NA,"legume","(37)40(50)","7-9","2-3","flat straight","acute","acute",NA,"8","3-4.5","3-4.6","1.5-2.3","spherical, circular in outline",NA,"same","yes","yes",NA
"Adenanthera_intermedia","High","Nielsen, I.C. (1992). Mimosaceae (Leguminosae-Mimosoideae). Flora Malesiana - Series 1, Spermatophyta, 11(1), 1‚Äö√Ñ√¨226.","https://www.dropbox.com/s/2hsx9hy2vv0i7m8/Nielsen-1992-Flora%20Malesiana%20Leguminosae%20Mimosoideae.pdf?dl=4","manual",NA,"tree","≤ 19",NA,NA,"no","no","0","0","0","0",NA,"1-2",NA,"100-210","no","2-3 (4)","(30) 50-150",NA,"no","(3) 4-6","15-50","9-30","unequal-sided, elliptic, ovate-elliptic, (very) broadly cuneate, (very) broadly rounded","± symmetrical","rounded-mucronulate, truncate-emarginate",NA,NA,"1 (3)","100-150",NA,NA,"raceme",NA,"5","0.5",NA,NA,"5","2.4-3.5",NA,NA,NA,NA,"10","4",NA,"0.5",NA,NA,NA,NA,"3",NA,"0.6-0.7",NA,"pod","100-180","9-20",NA,"strap shaped, usually falcate prior to dehiscence and spirally contorted after, often slightly constricted between the seeds",NA,NA,"dark brown","10-11","6-8","5-6","3-4","± irregularly obovoid-ellipsoid, biconvex","glossy red with black spot.","same","yes",NA,NA
"Adenanthera_malayana","High","Nielsen, I.C. (1992). Mimosaceae (Leguminosae-Mimosoideae). Flora Malesiana - Series 1, Spermatophyta, 11(1), 1‚Äö√Ñ√¨226.","https://www.dropbox.com/s/2hsx9hy2vv0i7m8/Nielsen-1992-Flora%20Malesiana%20Leguminosae%20Mimosoideae.pdf?dl=5","manual",NA,"tree","45",NA,NA,"no","no","0","0","0","0",NA,NA,NA,"55-190","no","2-3","(30) 45-120",NA,"no","(2) 3-5","18-50 (80)","10-40 (50)","very often slightly unequal-sided, elliptic-ovate, elliptic-suborbicular, mucronulate","slightly asymmetrically cuneate","acute-rhombid, very broadly rhombid, emarginate, truncate, often slightly emarginate, mucronulate",NA,NA,"1","80-150",NA,NA,"raceme",NA,"5","0.5-0.8","0.2-0.3",NA,"5","2.5-3",NA,NA,NA,"whitish, turning yellow","10","3.5-4.5","whitish turning yellow","0.5",NA,NA,NA,NA,"1.5-2",NA,"± 0.75-2",NA,"pod","± 80-150",NA,NA,"contorted into a spiral prior to dehiscence, gradually narrowing into the inconspicuous stalk, slightly sinuate between the seeds",NA,NA,"purpelish black","± 10-12","6-8","± 4-7","± 2-4.5","obovoid, ellipsoid, orbicular, biconvex, suborbicular","glossy red and black, distal black spot","same","yes",NA,NA
"Adenanthera_microsperma","High","Nielsen, I.C. (1992). Mimosaceae (Leguminosae-Mimosoideae). Flora Malesiana - Series 1, Spermatophyta, 11(1), 1‚Äö√Ñ√¨226.","https://www.dropbox.com/s/2hsx9hy2vv0i7m8/Nielsen-1992-Flora%20Malesiana%20Leguminosae%20Mimosoideae.pdf?dl=6","manual",NA,"tree","≤ 30",NA,NA,"no","no","0","0","0","0",NA,NA,NA,"120-210","no","3-5 (6)","57-110",NA,"no","(4) 5-9","10-27","6-18","asymmetricaly ovate-oblong, oblong-obovate, sub-trapezoid, often emmarginate, mucronulate","partly cuneate, partly rounded","rounded, truncate",NA,NA,"1.5-3","65-115 (250)",NA,NA,"raceme",NA,"5","0.5-0.75",NA,NA,"5","2.5-3.5",NA,NA,NA,NA,"10","3-4.5",NA,"0.5",NA,NA,NA,NA,"1.6-2.2",NA,"1-1.5",NA,"pod","≤ 150","8-12",NA,"densely spirally contorted before dehiscence",NA,NA,"brown to dark brown","6-10","5.5-7 (8)","4.5-7","4","suborbicular, ellipsoid, broadly obovoid","bright scarlet red","same","yes",NA,NA
"Adenopodia_oaxacana","High","Brenan, J. P. M. (1986). The genus Adenopodia (Leguminosae). Kew bulletin, 73-90.","https://www.dropbox.com/s/0y3q00tu5g2v01q/Brenan-1986-The_genus_adenopodia.pdf?dl=0","manual",NA,"climbing shrub, tree",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"25-80","yes","40-140","yes","6-10","40-95",NA,"yes","8-18","5-15","2-8","elliptic, oblong","asymmetrically rounded","rounded, obtuse","yes",NA,NA,NA,NA,NA,"spike","panicle",NA,"0.5-0.7","0.1",NA,"5",NA,"0.8-1.3",NA,NA,NA,NA,"2.8-3.3",NA,"0.5","0.25",NA,NA,NA,"0.25",NA,"1.5",NA,"pod","70-140","13-17",NA,"oblong","rounded","rounded, apiculate",NA,NA,"8-9","6",NA,NA,"light brown","same","yes",NA,NA
"Adenopodia_scelerata","High","Brenan, J. P. M. (1986). The genus Adenopodia (Leguminosae). Kew bulletin, 73-90.","https://www.dropbox.com/s/0y3q00tu5g2v01q/Brenan-1986-The_genus_adenopodia.pdf?dl=0","manual",NA,"climbing shrub","80",NA,NA,"yes",NA,"2-4",NA,"2-4",NA,NA,"25-100","yes","40-110","yes","4-10","30-80",NA,"yes","7-18","4-15","2.5-5 (7)","elliptic, oblong-elliptic","rounded, narrowed","rounded, obtuse","yes","8-20",NA,NA,NA,NA,"spike","paniculately aggregated",NA,"0.8-1","0.1",NA,NA,NA,"1.5-2",NA,NA,NA,NA,NA,NA,"0.4-0.6",NA,NA,NA,NA,"1",NA,NA,NA,"pod","100-150","32-35",NA,"oblong, slightly curved",NA,NA,NA,NA,NA,NA,"5-7",NA,NA,"same","yes",NA,NA
"Adenopodia_spicata","High","Brenan, J. P. M. (1986). The genus Adenopodia (Leguminosae). Kew bulletin, 73-90.","https://www.dropbox.com/s/0y3q00tu5g2v01q/Brenan-1986-The_genus_adenopodia.pdf?dl=0","manual",NA,"climbing shrub, scrambling shrub","6",NA,NA,"yes",NA,"5-7",NA,"5-7",NA,NA,"30-90","yes","30-135","yes","(3) 4-7","30-90",NA,"yes","7-13","(9) 12-18 (25)","(3) 5-7 (13)","oblong-elliptic","asymmetrically narrowed","rounded, often slightly emarginate","yes","8-35",NA,NA,NA,NA,"spike","often paniculately aggregated, solitary or few in a cluster",NA,"1-1.2","0.1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0.5-0.7",NA,NA,NA,NA,"2",NA,NA,NA,"pod","(50) 80-130","(13) 18-30 (37)",NA,NA,NA,NA,NA,NA,"7-10","5-7",NA,"obovate-elliptic","deep brown","same","yes",NA,NA
"Alantsilodendron_mahafalense","High","du Puy, D. J., Labat, J. N., Rabevohitra, R., Villiers, J. F., Bosser, J., & Moat, J. (2002). The leguminosae of Madagascar. The Leguminosae of Madagascar.","https://www.dropbox.com/scl/fi/zscyucen3zz8f2xy16sad/duPuy_etal-2002-Alantsilodendron.pdf?rlkey=bqobcctcalzvtgoc7z70gj2v0&dl=0","manual",NA,"shrub","4",NA,"yes",NA,NA,NA,NA,"2",NA,NA,"10-15","yes","6-9","yes","1-2","7-15",NA,"yes","2-6","≤7","≤5","broadly elliptic, oblong, broadly oblong-obovate","broadly rounded, slightly cordate","broadly rounded, notched","yes","20-25",NA,NA,NA,NA,"head",NA,NA,"1-1.5",NA,NA,NA,"3-3.25",NA,NA,"white, cream",NA,NA,"0.6-1.6",NA,"0.6",NA,NA,"no",NA,"1",NA,NA,NA,"pod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"same","yes",NA,NA
"Albizia_adianthifolia","Low","Capuron, R. (1970). Contribution to the forest flora of Madgascar: notes on Albizia spp. Adansonia, 11(2), 357-82.",NA,"manual",NA,"tree","≤20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"24-70","yes","(30-)55-140","yes","4-8",NA,NA,NA,"(4-)6-15","7-20","4-8(-11)","obliquely rhombic-quadrate, rhombic-oblong","rounded, not auriculate","usually obtuse, mucronate, sometimes subacute","yes","24-45(-60)","0.5-1",NA,NA,NA,"pedunculate",NA,NA,"2.5-5",NA,NA,NA,"6-10","2-3",NA,"whitish",NA,NA,"20-32",NA,NA,NA,NA,NA,NA,"±2.5",NA,NA,NA,"pod","(75-)90-190","19-34",NA,"oblong",NA,NA,"pale brown",NA,"7-9.5","6.5-8.5",NA,"flattened",NA,"https://plants.jstor.org/compilation/albizia.adianthifolia","yes",NA,NA
"Osodendron_altissimum","Low","Brenan, J.P.M. (1970). Flora Zambesiaca 3(1): 1-153. Royal Botanic Gardens, Kew","https://plants.jstor.org/search?filter=name&so=ps_group_by_genus_species+asc&Query=Albizia+altissima",NA,"Two references in the link, as Cathormium altissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia_amara","Low",NA,NA,NA,NA,"tree","1.5-12(-15)","deciduous",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4-46(-56)",NA,NA,NA,"12-48","2-5(-7.5)","0.5-1.5(-2.5)","oblong, linear",NA,"symmetrical, obtuse, sometimes subacute",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-2",NA,NA,NA,"3.5-7",NA,NA,"white, flushed pink",NA,NA,"5-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pod","100-280","20-50",NA,"oblong",NA,NA,"brown",NA,NA,NA,NA,NA,NA,"https://www.worldfloraonline.org/taxon/wfo-0000180283","yes",NA,NA
"Albizia_androyensis","Low","Du Puy, D.J., Labat, N.-N., Rabevohitra, R., Villiers, J.-F., Bosser, J. & Moat, J. (2002). The Leguminosae of Madagascar: 1-737. Royal Botanic Gardens, Kew","https://www.dropbox.com/scl/fi/7mex6eu31wfg3j3my249g/duPuy_etal-2002-Albizia.pdf?rlkey=6gog1zx83cotv2oef09ig44n0&dl=0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia_anthelmintica","Low",NA,NA,NA,NA,"shrubs, tree",NA,"deciduous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-2(-4)",NA,NA,NA,"1-4(-5)","(7-)10-36(-42)","(4-)6-31","obliquely obovate, suborbicular",NA,"mucronate",NA,NA,"0.5-5.5",NA,NA,NA,NA,NA,NA,"3-5",NA,NA,NA,"6-12",NA,NA,"pale greenish",NA,NA,"~15-20","white",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pod","70-180","15-29",NA,"oblong",NA,NA,"straw-coloured",NA,NA,NA,NA,NA,NA,"https://plants.jstor.org/compilation/Albizia.anthelmintica","yes",NA,NA
"Albizia_antunesiana","Low",NA,NA,NA,NA,"tree","≤12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30-85",NA,"0-130",NA,"1-4",NA,NA,NA,"4-9","(16-)23-50","8-28","oblique, ovate, rhombic-ovate, elliptic-oblong",NA,"usually rounded, slightly emarginate",NA,"36-80","≤2",NA,NA,NA,NA,NA,NA,"(3-)2.5-5.5",NA,NA,NA,"5.5-11","≤4",NA,NA,NA,NA,"15-30",NA,NA,NA,NA,NA,NA,"±2",NA,NA,NA,"pod","110-160(-230)","25-44(-46)",NA,"oblong",NA,NA,NA,NA,NA,NA,"±7-9","flattened",NA,"https://plants.jstor.org/compilation/albizia.antunesiana?searchUri=","yes",NA,NA
"Albizia_arenicola","Low","Du Puy, D.J., Labat, N.-N., Rabevohitra, R., Villiers, J.-F., Bosser, J. & Moat, J. (2002). The Leguminosae of Madagascar: 1-737. Royal Botanic Gardens, Kew.","https://www.dropbox.com/scl/fi/7mex6eu31wfg3j3my249g/duPuy_etal-2002-Albizia.pdf?rlkey=6gog1zx83cotv2oef09ig44n0&dl=1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia_atakataka","Low","Du Puy, D.J., Labat, N.-N., Rabevohitra, R., Villiers, J.-F., Bosser, J. & Moat, J. (2002). The Leguminosae of Madagascar: 1-737. Royal Botanic Gardens, Kew.","https://www.dropbox.com/scl/fi/7mex6eu31wfg3j3my249g/duPuy_etal-2002-Albizia.pdf?rlkey=6gog1zx83cotv2oef09ig44n0&dl=2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia_aurisparsa","Low","Du Puy, D.J., Labat, N.-N., Rabevohitra, R., Villiers, J.-F., Bosser, J. & Moat, J. (2002). The Leguminosae of Madagascar: 1-737. Royal Botanic Gardens, Kew.","https://www.dropbox.com/scl/fi/7mex6eu31wfg3j3my249g/duPuy_etal-2002-Albizia.pdf?rlkey=6gog1zx83cotv2oef09ig44n0&dl=3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia_bernieri","Low","Du Puy, D.J., Labat, N.-N., Rabevohitra, R., Villiers, J.-F., Bosser, J. & Moat, J. (2002). The Leguminosae of Madagascar: 1-737. Royal Botanic Gardens, Kew.","https://www.dropbox.com/scl/fi/7mex6eu31wfg3j3my249g/duPuy_etal-2002-Albizia.pdf?rlkey=6gog1zx83cotv2oef09ig44n0&dl=4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia_boinensis","Low","Du Puy, D.J., Labat, N.-N., Rabevohitra, R., Villiers, J.-F., Bosser, J. & Moat, J. (2002). The Leguminosae of Madagascar: 1-737. Royal Botanic Gardens, Kew.","https://www.dropbox.com/scl/fi/7mex6eu31wfg3j3my249g/duPuy_etal-2002-Albizia.pdf?rlkey=6gog1zx83cotv2oef09ig44n0&dl=5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia_carrii","Low","Nielsen, I.C. (1992). Mimosaceae (Leguminosae-Mimosoideae). Flora Malesiana - Series 1, Spermatophyta, 11(1), 1‚Äö√Ñ√¨226.","https://www.dropbox.com/s/2hsx9hy2vv0i7m8/Nielsen-1992-Flora%20Malesiana%20Leguminosae%20Mimosoideae.pdf?dl=7","manual",NA,"tree","≤ 30","semi-deciduous",NA,NA,NA,NA,NA,"1-2",NA,"45-100 (120)",NA,NA,"45-160","yes","2-6",NA,NA,"yes","6-10 (12)","(10) 15-25 (30)","(5) 7-10 (13)","asymmetrically elliptic-oblong","obliquely half cuneate, half rounded","rounded, obtuse, often emarginate","yes","25-50","4-6",NA,NA,NA,"pedunculate flowers","pedunculate flowers bearing corymbs","5","3-3.5","~0.5",NA,"5","~7","~3",NA,NA,NA,"numerous","≤ 25","white",NA,NA,NA,NA,NA,"~3",NA,NA,NA,"pod","120-240","30-50",NA,"oblong, straight, flat",NA,NA,"dark brown",NA,"9-11","5-7","3","oblong-ellipsoid, biconvex","dark brown","same","yes",NA,"found"
"Albizia_chevalieri","Low","Wu, Z. & Raven, P.H. (eds.) (2010). Flora of China 10: 1-642. Science Press (Beijing) & Missouri Botanical Garden Press (St. Louis).",NA,NA,"Kew?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia_commiphoroides","Low","Du Puy, D.J., Labat, N.-N., Rabevohitra, R., Villiers, J.-F., Bosser, J. & Moat, J. (2002). The Leguminosae of Madagascar: 1-737. Royal Botanic Gardens, Kew.","https://www.dropbox.com/scl/fi/7mex6eu31wfg3j3my249g/duPuy_etal-2002-Albizia.pdf?rlkey=6gog1zx83cotv2oef09ig44n0&dl=0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrochorea_elegans","Low",NA,NA,NA,NA,"shrubs, tree",NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"1-15",NA,NA,NA,"2-33",NA,NA,"rhombic-ovate, rhombic-lanceolate, rhombic-oblong, rhombic-obovate, ovate, elliptic, oblong, lanceolate or oblanceolate",NA,NA,"yes",NA,NA,NA,NA,NA,"capitula, racemes","umbelliform capitula, corymbiform racemes","5-8",NA,NA,NA,"5-8","8-10",NA,NA,NA,"pinkish, reddish, yellowish, whitish","(10-)12-60(-75)",NA,"white, greenish, roseate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://phytokeys.pensoft.net/article/82775/","yes",NA,NA
"Albizia_forbesii","Low",NA,NA,NA,NA,"tree","≤20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-20(-28)",NA,"5-38",NA,"2-7",NA,NA,"yes","6-16","3.5-8","1.5-4","obliquely oblong, oblong-elliptic, obovate",NA,"rounded, subacute, mucronate","yes","20-55",NA,NA,NA,NA,NA,NA,NA,"3-4",NA,NA,NA,"5-8(-9)","≤2.5",NA,"creamy-white",NA,NA,"10-15",NA,NA,NA,NA,NA,NA,"2-3",NA,NA,NA,"pod","90-180","32-50",NA,"oblong",NA,NA,"dark brown, reddish-brown",NA,"11-12","1.5-6.5",NA,"oblong-ellipsoid, slightly flattened",NA,"https://plants.jstor.org/compilation/albizia.forbesii","yes",NA,NA
