taxon,taxon_coded,filename,created_at,phylogeny,habit,root_system,height_min,height_low,height_high,height_max,height_unit,extrafloral_nectaries_presence,extrafloral_nectaries_location,extrafloral_nectary_length_min,extrafloral_nectary_length_low,extrafloral_nectary_length_high,extrafloral_nectary_length_max,extrafloral_nectary_length_unit,extrafloral_nectary_width_min,extrafloral_nectary_width_low,extrafloral_nectary_width_high,extrafloral_nectary_width_max,extrafloral_nectary_width_unit,extrafloral_nectary_shape,inflorescence_type,inflorescence_shape,inflorescence_length_min,inflorescence_length_low,inflorescence_length_high,inflorescence_length_max,inflorescence_length_unit,inflorescence_width_min,inflorescence_width_low,inflorescence_width_high,inflorescence_width_max,inflorescence_width_unit,inflorescence_organization,inflorescence_peduncle_length_min,inflorescence_peduncle_length_low,inflorescence_peduncle_length_high,inflorescence_peduncle_length_max,inflorescence_peduncle_length_unit,inflorescence_peduncle_width_min,inflorescence_peduncle_width_low,inflorescence_peduncle_width_high,inflorescence_peduncle_width_max,inflorescence_peduncle_width_unit,flower_merosity,pedicel_length_min,pedicel_length_low,pedicel_length_high,pedicel_length_max,pedicel_length_unit,pedicel_width_min,pedicel_width_low,pedicel_width_high,pedicel_width_max,pedicel_width_unit,calyx_shape,calyx_length_min,calyx_length_low,calyx_length_high,calyx_length_max,calyx_length_unit,calyx_lobe_length_min,calyx_lobe_length_low,calyx_lobe_length_high,calyx_lobe_length_max,calyx_lobe_length_unit,corolla_shape,corolla_length_min,corolla_length_low,corolla_length_high,corolla_length_max,corolla_length_unit,corolla_lobe_length_low,corolla_lobe_length_high,corolla_lobe_length_max,corolla_lobe_length_unit,corolla_lobe_width_min,corolla_lobe_width_low,corolla_lobe_width_high,corolla_lobe_width_max,corolla_lobe_width_unit,stamen_count,filament_length_min,filament_length_low,filament_length_high,filament_length_max,filament_length_unit,filament_color,style_length_min,style_length_low,style_length_high,style_length_max,style_length_unit
Mimosa caduca,Mimosa_caduca,Barneby_1991_Sensitivae_Censitae_treatment_0155.txt,7/9/2025 13:53,1,Trees,,,,7,,m,,,,,,,,,,,,,,capitula,subglobose or ellipsoid,6,,10,,mm,5,,7,,mm,pseudoraceme or small panicles,,9,20,,mm,,,,,,4-merous,,,,,,,,,,,campanulate,,1.2,1.4,,mm,,,0.2,,mm,narrowly funnelform,2.3,2.3,3.3,3.3,mm,1,1.1,1.1,mm,0.6,0.6,0.8,0.8,mm,8,,4,5,,mm,,,,,,
Mimosa troncosoae,Mimosa_troncosoae,Barneby_1991_Sensitivae_Censitae_treatment_0156.txt,7/9/2025 13:55,0,Trees,,,,6,,m,present,paraphyllidia,,1,1,,mm,,,,,,subulate,pseudoraceme of globose capitula,globose,,,,,,,,,,,,,1.5,1.5,,cm,,,,,,,,1.5,1.5,,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa torresiae,Mimosa_torresiae,Barneby_1991_Sensitivae_Censitae_treatment_0157.txt,7/9/2025 13:56,1,shrubs or treelets,,,,,,,,,,,,,,,,,,,,capitula,globose,,,,,,,6.5,8,,mm,pseudoracemose,,,,,,,,,,,5-merous,,,,,,,,,,,campanulate,1.4,1.4,1.6,1.6,mm,,,,0.15,mm,,,3.6,4,,mm,1.7,2,,mm,,0.8,0.8,,mm,10,,4,5,,mm,? white,,,,,
Mimosa leucaenoides,Mimosa_leucaenoides,Barneby_1991_Sensitivae_Censitae_treatment_0158.txt,7/9/2025 13:57,1,shrubs and treelets,,,,4.5,,m,,,,,,,,,,,,,,capitula,globose,,,,,,,5.5,6,,mm,pseudoracemose,,1,3,,cm,,,,,,4-merous,,,,,,,,,,,narrowly campanulate,1.2,1.2,1.4,1.4,mm,,0.2,0.2,,mm,vase-shaped,,2.7,3.2,,mm,,,,,,,,,,8,,3.5,4.5,,mm,pink,,,,,
Mimosa martin-delcampoi,Mimosa_martindelcampoi,Barneby_1991_Sensitivae_Censitae_treatment_0159.txt,7/9/2025 13:58,1,shrubs,,,,,,,eglandular,,,,,,,,,,,,,capitula,globose,,,,,,6,6,7,7,mm,pseudoracemes,,13,25,,mm,,,,,,4- or 5-merous,,,,,,,,,,,campanulate,,0.8,1,,mm,,0.1,0.1,,mm,,,2.6,3.6,,mm,,,,,,,,,,8 or 10,,3,4.5,,mm,pink,,,,,
Mimosa ervendbergii,Mimosa_ervendbergii,Barneby_1991_Sensitivae_Censitae_treatment_0160.txt,7/9/2025 13:59,1,vines and scandent shrubs,,,,2,,m,,,,,,,,,,,,,,capitula,globose,,,,,,,,,,,paniculate,,,,,,,,,,,4-5-merous,,,,,,,,,,,campanulate,,1.4,1.9,,mm,,0.3,0.4,,mm,,,3,3.4,,mm,,,,,,,,,,8 or 10,,5,5.5,,mm,white,,,,,
Mimosa sinaloensis,Mimosa_sinaloensis,Barneby_1991_Sensitivae_Censitae_treatment_0161.txt,7/9/2025 14:00,1,vines,,,,7,,m,,,,,,,,,,,,,,capitula,globose,,,,,,,6,7,,mm,pseudoracemose,,,,,,,,,,,5-merous,,,,,,,,,,,deeply campanulate,1.5,1.5,1.7,1.7,mm,,0.2,0.2,,mm,,,3.1,3.5,,mm,,,,,,,,,,10,3,3,4,4,mm,white,,,,,
Mimosa hondurana,Mimosa_hondurana,Barneby_1991_Sensitivae_Censitae_treatment_0162.txt,7/9/2025 14:02,1,vines,,,3,,,m,,,,,,,,,,,,,,capitula,globose,,,,,,,4,,,mm,fasciculate panicle,,,,,,,,,,,4-merous,,,,,,,,,,,campanulate,,0.4,0.8,,mm,,,,,,turbinate,,2,2.3,,cm,,,,,,,,,,8,,,,,,white,,,,,
Mimosa malacophylla,Mimosa_malacophylla,Barneby_1991_Sensitivae_Censitae_treatment_0163.txt,7/9/2025 14:03,1,subshrubs,,,,4.5,,m,,,,,,,,,,,,,,capitula,ellipsoid or subglobose,,5,14,,mm,4,4.5,6.5,,mm,pseudoracemose or paniculate,5,8,20,,mm,,,,,,(4-)5-merous,,0.1,0.5,,mm,,,,,,campanulate,0.3,0.3,0.6,0.6,mm,,,,,,,,1.8,2.7,,mm,,,,,,,,,,8 or 10,,4,4.5,,mm,white,,,,,
Mimosa parvifoliolata,Mimosa_parvifoliolata,Barneby_1991_Sensitivae_Censitae_treatment_0164.txt,7/9/2025 14:04,0,Sarmentose microphyllidious shrubs,,,,,,,,,,,,,,,,,,,,capitula,globose,,5,,,mm,,,,,,fasciculate,,1,1.5,,cm,,,,,,4-merous,,1,1.5,,cm,,,,,,campanulate,,0.7,0.7,,mm,,,,,,vase-shaped,1.5,1.5,2,2,mm,,,,,,,,,,8,,,2,,mm,whitish,,,,,
Mimosa diplacantha,Mimosa_diplacantha,Barneby_1991_Sensitivae_Censitae_treatment_0165.txt,7/9/2025 14:05,0,shrubs,,,3,14,20,dm,,,,,,,,,,,,,,capitula,globose or ellipsoid,,,,,mm,,,,,mm,,,,,,mm,,,,,,4—5-merous,0.1,,0.6,,mm,,,,,,narrowly vase-shaped,0.6,0.7,1.1,,mm,,,,,,"turbinate-vase-shaped, cuneately narrowed at base",,,,,mm,0.8,1.3,,mm,,0.7,1,,mm,6,,,,,mm,white,,,,,
Mimosa domingensis,Mimosa_domingensis,Barneby_1991_Sensitivae_Censitae_treatment_0166.txt,7/9/2025 14:07,1,shrubs,,,2,10,,m,,,,,,,,,,,,,,capitula,subglobose or ovoid,,,,,,3.5,4,6,,mm,pseudoracemose,6,18,25,30,mm,,,,,,4-5-merous,,,,,,,,,,,campanulate,,0.7,1.1,,mm,0.1,0.1,0.15,,mm,vase-shaped,1.9,1.9,4.1,4.1,mm,0.8,1.2,,mm,,0.6,0.8,,mm,,,2,5,,mm,white,,,,,
Mimosa ekmanii,Mimosa_ekmanii,Barneby_1991_Sensitivae_Censitae_treatment_0167.txt,7/9/2025 14:08,0,shrubs,,,,2.5,,m,,,,,,,,,,,,,,capitula,globose,,4,5,,mm,,4,5,,mm,,1.5,1.5,2.6,2.6,cm,,,,,,4-merous,,1.5,2.6,,cm,,,,,,campanulate,,0.7,0.9,,mm,,,,,,turbinate,,2,2.6,,mm,1,1,,mm,,0.8,0.8,,mm,8,,2.5,3,,mm,lilac-pink,,,,,
Mimosa fagaracantha,Mimosa_fagaracantha,Barneby_1991_Sensitivae_Censitae_treatment_0168.txt,7/9/2025 14:09,0,shrubs,,,2,,,m,,,,,,,,,,,,,,capitula,globose,,,,,,3.5,3.5,4.5,4.5,mm,fasciculate,,6,13,,mm,,,,,,4-5-androus,,6,13,,mm,,,,,,narrowly campanulate,,0.8,1,,mm,,0.2,,,mm,vase-shaped,,2,2.3,,mm,0.6,0.8,,mm,,0.5,,,mm,4,,3,,,mm,pink,,,,,
Mimosa leonardii,Mimosa_leonardii,Barneby_1991_Sensitivae_Censitae_treatment_0169.txt,7/9/2025 14:10,0,Shrubs,,,,,,,,,,,,,,,,,,,,capitula,globose,,,,,,,,,,,,,7,8,,mm,,,,,,4—-5-merous,7,7,8,8,mm,,,,,,campanulate,,0.5,0.7,,mm,,,,,,vase-shaped,1.8,1.8,2.3,2.3,mm,0.7,0.9,0.9,mm,0.6,0.6,0.7,0.7,mm,6,,2.5,3,,mm,whitish,,,,,
Mimosa extranea,Mimosa_extranea,Barneby_1991_Sensitivae_Censitae_treatment_0170.txt,7/9/2025 14:12,0,shrubs or treelets,,,1.5,3,,m,,,,,,,,,,,,,,capitula,globose,,5,5,,mm,,,,,,,6,,38,,mm,,,,,,4-S-merous,,6,38,,mm,,,,,,narrowly campanulate,0.8,0.8,1,1,mm,,0.2,0.2,0.2,mm,trumpet-shaped,,2.4,3,,mm,0.8,1.3,,mm,,0.5,0.7,,mm,,,2.5,3,,mm,white,,,,,
Mimosa bahamensis,Mimosa_bahamensis,Barneby_1991_Sensitivae_Censitae_treatment_0171.txt,7/9/2025 14:13,1,shrubs and treelets,,,2,4.5,9,m,,,,,,,,,,,,,,capitula,globose,,,,,,5.5,,6.5,,mm,panicle of pseudoraceme,,7,15,,mm,,,,,,4(-5)-merous,,,,,,,,,,,campanulate,,1,1.3,,mm,,0.1,0.3,,mm,vase-shaped,,2.6,3,,mm,0.8,1.1,,mm,,0.7,0.9,,mm,8 or 10,,3,4.5,,mm,pink,,,,,
Mimosa farinosa,Mimosa_farinosa,Barneby_1991_Sensitivae_Censitae_treatment_0172.txt,7/9/2025 14:14,1,shrubs and treelets,,,,3,,m,,,,,,,,,,,,,,capitula,globose,,,,,,,4.5,5,,mm,,,4,21,,mm,,,,,,4-merous,,,,,,,,,,,submembranous,,0.5,0.7,,mm,,0.2,0.2,,mm,,,2.3,3.2,,mm,0.8,1.3,,mm,,0.7,0.9,,mm,8,,3.3,4.6,,mm,white,,,,,
Mimosa castanoclada,Mimosa_castanoclada,Barneby_1991_Sensitivae_Censitae_treatment_0173.txt,7/9/2025 14:15,0,shrubs,,,1.2,3,,m,,,,,,,,,,,,,,capitula,globose,,6,6.5,,mm,,6,6.5,,mm,,5,,13,,mm,,,,,,4-merous,,5,13,,mm,,,,,,campanulate,,0.3,0.6,,mm,0.1,,0.2,,mm,trumpet-shaped,,2,2.8,,mm,0.6,0.9,,mm,,0.5,0.9,,mm,8,3,,5,,mm,pale pink,,,,,
Mimosa detinens,Mimosa_detinens,Barneby_1991_Sensitivae_Censitae_treatment_0174.txt,7/9/2025 14:17,1,arborescent shrubs,,,1,5,,m,,,,,,,,,,,,,,capitula,globose,,,,,,,4.5,6,,mm,,3,7,22,,mm,,,,,,4-merous,,,,,,,,,,,campanulate,1,1,1.5,1.5,mm,,,,,,narrowly vase-shaped,2.2,2.2,3.2,3.2,mm,0.7,1.3,1.3,mm,0.5,0.5,0.9,0.9,mm,8,,3,3.5,,mm,white,,,,,
Mimosa ostenii,Mimosa_ostenii,Barneby_1991_Sensitivae_Censitae_treatment_0175.txt,7/9/2025 14:18,0,Arborescent shrubs,,,2,5,,m,,,,,,,,,,,,,,capitula,globose,,,,,,6,6,8,8,mm,,,,,,mm,,,,,,4-merous,0,0,0.2,,mm,,,,,,turbinate-campanulate,1,1,1.8,1.8,mm,0.2,0.2,0.3,0.3,mm,narrowly vase-shaped,3.3,3.3,3.8,3.8,mm,1.1,1.3,1.3,mm,,,,,,8,,3,3.5,,mm,white,,,,,
Mimosa ephedroides,Mimosa_ephedroides,Barneby_1991_Sensitivae_Censitae_treatment_0176.txt,7/9/2025 14:19,1,shrubs,,,,2,,m,eglandular,,,,,,,,,,,,,capitula,globose,,,,,,,6.5,8,,mm,,,5,15,,mm,,,,,,4(5-)-merous,,0.3,0.3,,mm,,,,,,campanulate,,,,,,,0.2,0.5,,mm,narrowly vase-shaped,,2.5,3.4,,mm,,,,,,,,,,8 or 10,,5,6,,mm,white,,,,,
Mimosa echinocaula,Mimosa_echinocaula,Barneby_1991_Sensitivae_Censitae_treatment_0177.txt,7/9/2025 14:20,1,subshrubs,,,,,,,,,,,,,,,,,,,,capitula,globose,,,,,,6,6,6.5,6.5,mm,pseudoraceme,,14,34,,mm,,,,,,4-merous,,,,,,,,,,,cup,0.2,0.2,0.45,0.45,mm,,,,,,turbinate-funnelform,2.2,2.2,3.1,3.1,mm,1,1.2,,mm,,,,,,8,3,3,6.5,6.5,mm,pink,,,,,
Mimosa diplotricha,Mimosa_diplotricha,Barneby_1991_Sensitivae_Censitae_treatment_0178.txt,7/9/2025 14:21,1,Herbs and subshrubs,,,,,,,,,,,,,,,,,,,,capitula,globose,,,,,,4,5.5,6,,mm,pseudoracemose,,5,16,20,mm,,,,,,4-merous,,,,,,,,,,,campanulate,,0.2,0.4,,mm,,,,,,turbinate or vase-shaped,,1.7,2.4,2.8,mm,0.5,0.9,1,mm,,0.4,0.65,,mm,8,2,3,5,,mm,pink,,,,,
Mimosa diplotricha var. diplotricha,Mimosa_diplotricha_diplotricha,Barneby_1991_Sensitivae_Censitae_treatment_0179.txt,7/9/2025 14:23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa diplotricha var. odibilis,Mimosa_diplotricha_odibilis,Barneby_1991_Sensitivae_Censitae_treatment_0180.txt,7/9/2025 14:24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa supravisa,Mimosa_supravisa,Barneby_1991_Sensitivae_Censitae_treatment_0181.txt,7/9/2025 14:25,1,subshrubs,,,,,,,,,,,,,,,,,,,,capitula,globose,,,,,,4,4.5,5.5,,mm,pseudoraceme,6,8,30,,mm,,,,,,4-merous,,,,,,,,,,,,,0.15,0.3,,mm,,,,,,narrowly vase-shaped,1.5,1.8,2.4,,mm,0.7,0.9,,mm,0.45,0.45,0.6,0.6,mm,8,,3.5,4,,mm,pink,,,,,
Mimosa selloi,Mimosa_selloi,Barneby_1991_Sensitivae_Censitae_treatment_0182.txt,7/9/2025 14:26,1,herbs,,,1,,,m,,,,,,,,,,,,,,capitula,subglobose,,5,6,,mm,4.5,4.5,5,5,mm,,,1.5,4,,cm,,,,,,4-merous,,,,,,,,,,,turbinate-campanulate,0.4,0.4,0.6,0.6,mm,0.1,0.1,0.2,0.2,mm,narrowly vase-shaped,1.9,1.9,2.7,2.7,mm,1.2,1.5,1.5,mm,0.7,0.7,0.7,0.7,mm,8,,3.5,3.5,,mm,?pink,,,,,
Mimosa suburbana,Mimosa_suburbana,Barneby_1991_Sensitivae_Censitae_treatment_0183.txt,7/9/2025 14:27,1,subshrubs,,,8,11,,dm,,,,,,,,,,,,,,capitula,globose,,,,,,,3,4,,mm,,12,15,30,,mm,0.1,,0.15,,mm,4-merous,,,,,,,,,,,campanulate,0.4,0.4,0.5,0.5,mm,,,,,,turbinate,2,2,2.5,2.5,mm,,,,,,,,,,8,,3,3.5,,mm,pink,,,,,
Mimosa pinetorum,Mimosa_pinetorum,Barneby_1991_Sensitivae_Censitae_treatment_0184.txt,7/9/2025 14:29,1,subshrub,,,,1.5,,m,,,,,,,,,,,,,,capitula,globose,,,,,,,,,,,,15,,30,,mm,,,,,,4-merous,,,,,,,,,,,campanulate,,0.3,0.3,,mm,,,0.1,,mm,narrowly vase-shaped,,2.3,2.3,,mm,1.1,1.1,,mm,,0.6,0.6,,mm,8,,3.5,4,,mm,,,,,,
Mimosa maracayuensis,Mimosa_maracayuensis,Barneby_1991_Sensitivae_Censitae_treatment_0185.txt,7/9/2025 14:30,1,herbaceous,slender woody,,7,20,,dm,,,,,,,,,,,,,,capitula,globose,,,,,,,5,7,,mm,,4,4,9,9,cm,,,,,,4-merous,,,,,,,,,,,short-campanulate,,0.2,0.4,,mm,,,,,,narrowly turbinate,,2.3,3.1,,mm,1,1.4,,mm,,0.6,0.8,,mm,8,,3.5,6,,mm,pink,,,,,
Mimosa gracilis,Mimosa_gracilis,Barneby_1991_Sensitivae_Censitae_treatment_0186.txt,7/9/2025 14:31,1,herbs,"woody, when young carrot-like, in age knotty and amorphous",1,2,14,,dm,,,,,,,,,,,,,,capitula,globose,,,,,,,3,4.5,6,mm,pseudoraceme,0.8,1,4.5,6,cm,,,,,,4-merous,,,,,,,,,,,campanulate,,0.2,0.4,,mm,,,,,,"narrowly or, when relatively short, more broadly turbinate",,1.4,2.6,3,mm,0.5,1.7,,mm,,,,,,8,,2.5,5.5,,mm,vivid pink or lilac-pink,,,,,
Mimosa gracilis subsp. capillipes,Mimosa_gracilis_capillipes,Barneby_1991_Sensitivae_Censitae_treatment_0187.txt,7/9/2025 14:32,0,humifuse,root-stock,,,,,,,,,,,,,,,,,,,,,,1,4,6,cm,,,,,,,1,,4,6,cm,,,,,,,1,,4,6,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa gracilis subsp. capillipes var. capillipes,Mimosa_gracilis_capillipes_capillipes,Barneby_1991_Sensitivae_Censitae_treatment_0188.txt,7/9/2025 14:33,0,,rootstock,,,,,,,,,,,,,,,,,,,capitula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa gracilis subsp. capillipes var. invisiformis,Mimosa_gracilis_capillipes_invisiformis,Barneby_1991_Sensitivae_Censitae_treatment_0189.txt,7/9/2025 14:34,2,,,950,1000,1600,1700,m,,,,,,,,,,,,,,capitulum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa gracilis subsp. gracilis,Mimosa_gracilis_gracilis,Barneby_1991_Sensitivae_Censitae_treatment_0190.txt,7/9/2025 14:36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa gracilis subsp. gracilis var. gracilis,Mimosa_gracilis_gracilis_gracilis,Barneby_1991_Sensitivae_Censitae_treatment_0191.txt,7/9/2025 14:37,2,humifuse,,,,,,dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa gracilis subsp. gracilis var. brevissima,Mimosa_gracilis_gracilis_brevissima,Barneby_1991_Sensitivae_Censitae_treatment_0192.txt,7/9/2025 14:38,2,"Stems at first anthesis tufted 1-4 dm, later diffusely elongating or humifuse",,,1,4,,dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa gracilis subsp. filiformis,Mimosa_gracilis_filiformis,Barneby_1991_Sensitivae_Censitae_treatment_0193.txt,7/9/2025 14:39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa gracilis subsp. filiformis var. filiformis,Mimosa_gracilis_filiformis_filiformis,Barneby_1991_Sensitivae_Censitae_treatment_0194.txt,7/9/2025 14:40,2,humifuse,,,7,10,,dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa gracilis subsp. filiformis var. stipitata,Mimosa_gracilis_filiformis_stipitata,Barneby_1991_Sensitivae_Censitae_treatment_0195.txt,7/9/2025 14:41,2,,,,6,10,,dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa gracilis subsp. filiformis var. longipes,Mimosa_gracilis_filiformis_longipes,Barneby_1991_Sensitivae_Censitae_treatment_0196.txt,7/9/2025 14:42,0,,,,4,7,,dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa gracilis subsp. filiformis var. leiocarpa,Mimosa_gracilis_filiformis_leiocarpa,Barneby_1991_Sensitivae_Censitae_treatment_0197.txt,7/9/2025 14:43,0,Stems humifuse,,2,,6.5,,dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa burchellii,Mimosa_burchellii,Barneby_1991_Sensitivae_Censitae_treatment_0198.txt,7/9/2025 14:44,1,Herbaceous,taproot,,,,,,,,,,,,,,,,,,,capitula,globose,,,,,,,5,5,,mm,,,1.5,2,,cm,,,,,,4-merous,,,,,,,,,,,truncate,,0.2,0.2,,mm,,,,,,broadly vase-shaped,1.8,1.8,2.2,2.2,mm,0.8,0.9,0.9,mm,,,,,,8,,3.5,4,,mm,pink,,,,,
Mimosa pratincola,Mimosa_pratincola,Barneby_1991_Sensitivae_Censitae_treatment_0199.txt,7/9/2025 14:45,0,perennial herbs,,,,1,,m,,,,,,,,,,,,,,capitula,globose or plumply ellipsoid,,,,,,,5.5,5.5,,mm,pseudoracemose,,3,4,,m,,,,,,4-merous,,,,,,,,,,,,,0.5,0.7,,mm,,,,,,,,3,3,,mm,1.5,1.8,,mm,,,,,,4,,4.5,4.5,,mm,pink,,,,,
Mimosa gatesiae,Mimosa_gatesiae,Barneby_1991_Sensitivae_Censitae_treatment_0200.txt,7/9/2025 14:47,1,herb,knotty caudex either terminating or lateral to an oblique woody rootstock to 5 mm diam. or from a thick-topped xylopodium,,1,3,,dm,,,,,,,,,,,,,,capitula,globose,,,,,,,3.5,4.5,,mm,pseudoraceme,10,10,18,18,mm,,,,,,4-merous,,,,,,,,,,,,,0.4,0.65,,mm,,,,,,broadly turbinate,1.7,1.7,2.5,2.5,mm,1,1.2,1.2,mm,,,,,,8,,2.5,4,,mm,pale or vivid pink,,,,,
Mimosa diptera,Mimosa_diptera,Barneby_1991_Sensitivae_Censitae_treatment_0201.txt,7/9/2025 14:48,1,herb,xylopodium,,9,15,,dm,,,,,,,,,,,,,,capitula,globose moriform,,,,,,,3,4,,mm,panicle,8,8,12,12,mm,,,,,,4-merous,,,,,,,,,,,,,0.4,0.8,,mm,,,,,,turbinate,,1.7,2.8,,mm,0.9,1.5,,mm,,,,,,8,,2.5,3.5,,mm,pink,,,,,
Mimosa multiceps,Mimosa_multiceps,Barneby_1991_Sensitivae_Censitae_treatment_0202.txt,7/9/2025 14:49,1,herbs,woody,,,,,,,,,,,,,,,,,,,capitula,subglobose,,,,,,,6,7,,mm,,,2,5.5,,cm,,,,,,4-5(-6)-merous,,,,,,,,,,,campanulate,,0.3,0.6,,mm,,,,,,turbinate-campanulate,2.8,2.8,3.2,3.2,mm,1,1,,mm,,,,,,diplostemonous,5.5,,7.5,,mm,pink,,,,,
Mimosa piptoptera,Mimosa_piptoptera,Barneby_1991_Sensitivae_Censitae_treatment_0203.txt,7/9/2025 14:50,0,suffrutescent Aerbs,carrot-like root,1,2.5,7,,dm,,,,,,,,,,,,,,capitula,globose,,4,5,,mm,,,,,,,,,,,,,,,,,4-merous,,1,2.5,,cm,,,,,,campanulate,,0.3,0.4,,mm,,,,,,turbinate-campanulate,,2.1,2.4,,mm,0.9,1.3,,mm,,,,,,8,,3,4,,mm,pink,,,,,
Mimosa paucifolia,Mimosa_paucifolia,Barneby_1991_Sensitivae_Censitae_treatment_0204.txt,7/9/2025 14:51,1,herbs,woody,,2,4.5,,dm,,,,,,,,,,,,,,capitula,globose,,,,,,,3.5,5.5,,mm,,1.5,,4.5,,cm,,,,,,4-merous,,,,,,,,,,,,0.2,0.2,0.4,0.4,mm,,,,,,turbinate or vase-shaped,,1.2,2.3,,mm,0.7,1.2,,mm,,,,,,8,,2.5,5,,mm,pink,,,,,
Mimosa paucifolia var. paucifolia,Mimosa_paucifolia_paucifolia,Barneby_1991_Sensitivae_Censitae_treatment_0205.txt,7/9/2025 14:52,0,,,700,,900,,m,,,,,,,,,,,,,,capitula,,,4,5.5,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,,mm,,,,,,,,2,2.3,,mm,,,,,,,,,,,,4,5.5,,mm,,,,,,
Mimosa paucifolia var. scoparia,Mimosa_paucifolia_scoparia,Barneby_1991_Sensitivae_Censitae_treatment_0206.txt,7/9/2025 14:53,0,,,,,,,,,,,,,,,,,,,,,capitula,,,3.5,4,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,2,,mm,,,,,,,,,,,,,2.5,,mm,,,,,,
Mimosa phyllodinea,Mimosa_phyllodinea,Barneby_1991_Sensitivae_Censitae_treatment_0207.txt,7/9/2025 14:54,1,herbs,carrot-shaped woody,,2,4.5,,dm,,,,,,,,,,,,,,capitula,globose,,,,,,,4.5,5.5,,mm,pseudoraceme,,8,35,,mm,,,,,,4-merous,,,,,,,,,,,,,0.3,0.4,,mm,,,,,,broadly or narrowly turbinate-campanulate,1.7,1.7,2.9,2.9,mm,0.8,1.1,1.1,mm,,,,,,8,4.5,4.5,6,6,mm,pink,,,,,
Mimosa phyllodinea var. phyllodinea,Mimosa_phyllodinea_phyllodinea,Barneby_1991_Sensitivae_Censitae_treatment_0208.txt,7/9/2025 14:56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa phyllodinea var. phyllorrhoea,Mimosa_phyllodinea_phyllorrhoea,Barneby_1991_Sensitivae_Censitae_treatment_0209.txt,7/9/2025 14:57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimosa equisetum,Mimosa_equisetum,Barneby_1991_Sensitivae_Censitae_treatment_0210.txt,7/9/2025 14:58,0,kerbs,shortly branched subterranean caudex,,1,3,,dm,,,,,,,,,,,,,,capitula,globose,,6,7,,mm,,6,7,,mm,,2.5,,5,,cm,,,,,,merous,2.5,,5,,cm,,,,,,,,0.4,0.5,,mm,0.15,,0.2,,mm,turbinate,,3,3.5,,mm,1.1,1.4,,mm,,0.8,0.8,,mm,,,6,7.5,,mm,pink,,,,,
